,Comuna,Latitud,Longitud,Alias,Precipitacion,Grupo
0,Calera de Tango,-33.63026,-70.75037,Almendros,3.5,RM
1,Calera de Tango,-33.64388888888889,-70.83833333333332,Condominio SCdL,0.0,RM
2,Cerro Navia,-33.41946,-70.72695,Nanocerro,0.0,RM
3,Colina,-33.307339,-70.660102,Chamisero,7.0,RM
4,Conchalí,-33.38773,-70.65886,Conchalí 1,10.0,RM
5,El Monte,-33.68048,-70.998302,Coipocho,3.0,RM
6,Huechuraba,-33.347483,-70.663776,Los Guindos,13.0,RM
7,Isla de Maipo,-33.704432,-70.89853,Granortu,0.0,RM
8,La Florida,-33.521069,-70.527356,Vista_cordillera,32.0,RM
9,La Florida,-33.53493,-70.57879,Costa Rica,25.0,RM
10,La Florida,-33.52336,-70.56212,Miravalle,23.0,RM
11,La Florida,-33.53132,-70.56046,Bougainvillea,23.0,RM
12,La Florida,-33.53039167,-70.56961667,Casa_Sary,20.0,RM
13,La Florida,-33.5387504,-70.58643,MDM,19.2,RM
14,La Florida ,-33.5260817,-70.5245883,Lo Cañas,35.5,RM
15,La Reina,-33.459283,-70.56545,FG6189,56.5,RM
16,La Reina,-33.4325123,-70.5797009,thequeen,39.0,RM
17,La Reina,-33.44535,-70.54923,PBurchard,37.0,RM
18,La Reina,-33.4479073,-70.5454391,Zapiola,36.0,RM
19,La Reina,-33.43648,-70.54493,asilvam,30.0,RM
20,La Reina,-33.434636,-70.522047,Petricor,25.0,RM
21,Lampa,-33.32,-70.75,Valle Grande,3.0,RM
22,Lampa,-33.255169,-70.881025,Lampa_Rural,0.5,RM
23,Las Condes,-33.423889,-70.557545,Dreal,36.0,RM
24,Las Condes,-33.4249222,-70.5821583,Cristobaldlm,35.0,RM
25,Las Condes,-33.41812,-70.5747,MPM-1,25.0,RM
26,Las Condes,-33.405679,-70.55212,pluv_lcbv,25.0,RM
27,Las Condes,-33.40635,-70.51399,FECHITA,24.0,RM
28,Las Condes,-33.407573,-70.540641,Dominicos,21.0,RM
29,Las Condes,-33.39729444444444,-70.53663888888889,Calán - DGF,20.8,RM
30,Las Condes,-33.37354,-70.5041,La Posada MK,18.0,RM
31,Lo Barnechea,-33.342583,-70.47025,POMcI,30.0,RM
32,Lo Barnechea,-33.347133,-70.482523,Arrayán,30.0,RM
33,Lo Barnechea,-33.356717,-70.479844,Arrayán - Estero,28.0,RM
34,Lo Barnechea,-33.3297222,-70.5038889,JPMG,27.4,RM
35,Lo Barnechea,-33.3497222222222,-70.5405555555556,Santa Blanca,27.0,RM
36,Lo Barnechea,-33.359998,-70.476821,Las tres hermanas,25.0,RM
37,Lo Barnechea,-33.332691,-70.524816,Panorámica,24.0,RM
38,Lo Barnechea,-33.363563,-70.496013,San Enrique,22.0,RM
39,Lo Espejo,-33.514491,-70.694431,Loespuno,5.0,RM
40,Maipú,-33.52718,-70.77573,Pepe Carter,2.0,RM
41,Melipilla,-33.5761125,-71.0873969,AgricHarrison,0.5,RM
42,Ñuñoa,-33.4399552,-70.5770178,TOMACHO,43.0,RM
43,Ñuñoa,-33.4609,-70.594277,Johow,38.0,RM
44,Ñuñoa,-33.450585,-70.591376,Brownpoint,33.5,RM
45,ñuñoa,-33.449216,-70.606639,sucre- PdV,28.0,RM
46,Olmue,-32.99055555555556,-71.18027777777779,Colibrí,0.0,RM
47,Padre Hurtado,-33.571829,-70.826461,fcoelectro,0.1,RM
48,Padre Hurtado,-33.562211,-70.885686,Aromito,0.0,RM
49,Pedro Aguirre Cerda,-33.4917,-70.675,Abranquil,6.0,RM
50,Peñafor,-33.6301566,-70.8862869,Berlín,0.0,RM
51,Peñalolén,-33.487568,-70.574487,Ciudadana,55.0,RM
52,Peñalolén,-33.4893921,-70.541795,Puyehue,49.0,RM
53,Peñalolén,-33.4784758,-70.5516726,peñamex,48.0,RM
54,Pirque,-33.6493055555556,-70.6056388888889,IsaPir,15.0,RM
55,Providencia,-33.436461,-70.620565,Ministro,18.5,RM
56,Pudahuel,-33.466772,-70.86392,Izarra de lo Aguirre,1.2,RM
57,Pudahuel,-33.457778,-70.756944,Auquinco,1.0,RM
58,Puente Alto,-33.60863,-70.53107,Cordillera,30.0,RM
59,Puente Alto,-33.601355,-70.515257,Vizcachas,30.0,RM
60,Quilicura,-33.3498598,-70.73458217,Lázaro,2.0,RM
61,San Bernardo,-33.592121,-70.707756,Saitama,4.0,RM
62,San Joaquín,-33.50652,-70.63212,LAER,3.7,RM
