,Comuna,Latitud,Longitud,Alias,Precipitacion,Grupo
0,Calera de Tango,-33.63026,-70.75037,Almendros,2.0,RM
1,Cerrillos,-33.5071009,-70.708747,Rocío,1.0,RM
2,Cerro Navia,-33.41946,-70.72695,Nanocerro,2.0,RM
3,Colina,-33.307339,-70.660102,Chamisero,0.0,RM
4,El Monte,-33.68048,-70.998302,Coipocho,9.5,RM
5,Isla de Maipo,-33.704432,-70.89853,Granortu,2.0,RM
6,La Cisterna ,-33.52583,-70.667812,San Simón,3.0,RM
7,La Cruz,-32.8508333,-71.223333,Campanario La Cruz,0.0,RM
8,La Florida,-33.521069,-70.527356,Vista_cordillera,8.0,RM
9,La Florida,-33.5387504,-70.58643,MDM,3.0,RM
10,La Florida,-33.53493,-70.57879,Costa Rica,3.0,RM
11,La Florida,-33.566723,-70.592142,Guacolda,3.0,RM
12,La Florida,-33.529856,-70.587167,El Limón,0.2,RM
13,La Granja,-33.53215,-70.61203,Casa Exequiel,7.0,RM
14,La Reina,-33.43648,-70.54493,asilvam,8.0,RM
15,La Reina,-33.434636,-70.522047,Petricor,7.7,RM
16,La Reina,-33.4479073,-70.5454391,Zapiola,6.0,RM
17,La Reina,-33.44194,-70.56306,Tadeo,5.0,RM
18,La Reina,-33.4325123,-70.5797009,thequeen,4.0,RM
19,La Reina,-33.459283,-70.56545,FG6189,4.0,RM
20,Lampa,-33.25,-70.8947,Malena,2.0,RM
21,Lampa,-33.255169,-70.881025,Lampa_Rural,2.0,RM
22,Lampa,-33.32,-70.75,Valle Grande,0.5,RM
23,Las Condes,-33.41069,-70.51004,Marley,20.0,RM
24,Las Condes,-33.37354,-70.5041,La Posada MK,18.0,RM
25,Las Condes,-33.41068,-70.51288,Boldo,12.0,RM
26,Las Condes,-33.405679,-70.55212,pluv_lcbv,8.0,RM
27,Las Condes,-33.407573,-70.540641,Dominicos,7.0,RM
28,Las Condes,-33.4249222,-70.5821583,Cristobaldlm,4.0,RM
29,Lo Barnechea,-33.347133,-70.482523,Arrayán,28.0,RM
30,Lo Barnechea,-33.356717,-70.479844,Arrayán - Estero,27.0,RM
31,Lo Barnechea,-33.359998,-70.476821,Las tres hermanas,26.0,RM
32,Lo Barnechea,-33.3297222,-70.5038889,JPMG,25.5,RM
33,Lo Barnechea,-33.363563,-70.496013,San Enrique,25.0,RM
34,Lo Barnechea,-33.332691,-70.524816,Panorámica,21.0,RM
35,Lo Barnechea,-33.3497222222222,-70.5405555555556,Santa Blanca,14.6,RM
36,Lo Espejo,-33.514491,-70.694431,Loespuno,4.0,RM
37,Maipu,-33.512062,-70.769442,Maipu_Templo,1.8,RM
38,Maipú,-33.52718,-70.77573,Pepe Carter,2.0,RM
39,Melipilla,-33.5761125,-71.0873969,AgricHarrison,8.0,RM
40,Ñuñoa,-33.4399552,-70.5770178,TOMACHO,4.0,RM
41,ñuñoa,-33.449216,-70.606639,sucre- PdV,2.0,RM
42,Ñuñoa,-33.4624675,-70.6271803,Tomás,2.0,RM
43,Ñuñoa,-33.450585,-70.591376,Brownpoint,1.5,RM
44,Olmue,-32.99055555555556,-71.18027777777779,Colibrí,3.0,RM
45,Padre Hurtado,-33.571829,-70.826461,fcoelectro,1.5,RM
46,Padre Hurtado,-33.562211,-70.885686,Aromito,0.3,RM
47,Paico,-33.655,-71.0408,El Paico,5.0,RM
48,Pedro Aguirre Cerda,-33.50933,-70.6739,Aguilera,5.1,RM
49,Pedro Aguirre Cerda,-33.49152,-70.689035,Lo Valledor,3.5,RM
50,Peñaflor,-33.6044444,-70.8980556,BATA,1.0,RM
51,Peñalolén,-33.464228,-70.510042,Parque Cantalao,11.5,RM
52,Peñalolén,-33.4784758,-70.5516726,peñamex,4.0,RM
53,Peñalolén,-33.4893921,-70.541795,Puyehue,3.0,RM
54,Pirque,-33.6493055555556,-70.6056388888889,IsaPir,1.0,RM
55,Providencia,-33.436461,-70.620565,Ministro,2.0,RM
56,Pudahuel,-33.4542521,-70.748249,Scandium,3.0,RM
57,Pudahuel,-33.457778,-70.756944,Auquinco,1.0,RM
58,Pudahuel,-33.454455,-70.85234,MIGIOMI,1.0,RM
59,Pudahuel,-33.45772,-70.8507,AnGar,0.0,RM
60,Puente Alto,-33.60863,-70.53107,Cordillera,6.0,RM
61,Puente Alto,-33.5821241,-70.5858865,CasaPabla,5.0,RM
62,Quilicura,-33.3498598,-70.73458217,Lázaro,1.0,RM
63,San Bernardo,-33.612675,-70.72276,Hueñimalal,1.0,RM
64,San Bernardo,-33.592121,-70.707756,Saitama,0.1,RM
65,San José de Maipo,-33.5783328,-70.451299,El Canelo,30.0,RM
66,San José de Maipo,-33.578198,-70.405527,Alicura,15.0,RM
67,San José de Maipo,-33.762359,-70.279106,El Ingenio,6.0,RM
68,San José de Maipo,-33.634484,-70.35255,San José,6.0,RM
69,San Miguel,-33.51119,-70.66195,Fajardo,4.3,RV
70,Santo Domingo,-33.64395,-71.62306,TOGO,13.0,R5
71,Til Til,-33.04158333333333,-70.98044444444444,Las Cortaderas,1.5,RM
72,Til Til,-32.96924166666667,-70.83778333333333,Montenegro,1.0,RM
73,Til Til,-33.07725555555556,-70.9251,TilTil Centro,0.5,RM
74,Til Til,-33.1512806,-70.8892361,La Plazuela,0.5,RM
75,Vitacura,-33.38146,-70.55663,Auri-001,8.5,RM
76,Vitacura,-33.38783,-70.553479,Escultor,8.0,RM
77,Vitacura,-33.3890092,-70.5560782,Villa El Dorado,7.2,RM
78,Vitacura,-33.383186,-70.579557,Borderío,4.8,RM
79,Lo Barnechea,-33.328889,-70.459444,Estero Arrayán,44.4,EMA
80,,-33.338,-70.469,Parque El Arrayán (DGA),31.0,EMA
81,San José de Maipo,-33.5902778,-70.4852778,La Obra EMOS DGA,16.0,EMA
82,Santo Domingo,-33.737533,-71.639331,Luis Felipe Edwards (AG-742),15.0,EMA
83,,-33.439,-71.624,Algarrobo (DGA),13.7,EMA
84,Lo Barnechea,-33.37361,-70.396388,Rio Molina DGA,13.4,EMA
85,,-33.447,-71.455,Lagunillas (DGA),13.3,EMA
86,,-34.048,-71.381,Pozo San Vicente (DGA),12.1,EMA
87,,-33.438,-70.497,Qda Ramón 1 (DGA),12.1,EMA
88,,-33.92,-71.515,Pozo Escuela El Prado,11.8,EMA
89,,-33.497,-70.516,Antupirén (DGA),11.7,EMA
90,Melipilla,-33.680277,-71.1997,Melipilla Esc. Tec. DGA,11.5,EMA
91,,-33.76,-71.158,Carmen de las Rosas (DGA),11.4,EMA
92,,-33.202,-70.588,Rio Colina en Peldehue (DGA),10.3,EMA
93,Santo Domingo,-33.655,-71.6142,Aer. Santo Domingo (DMC),10.1,EMA
94,San José de Maipo,-33.531111,-70.2619444,Maitenes - DGA,9.6,EMA
95,,-33.524444,-71.545555,Casa Marín (AG 285),8.9,EMA
96,San José de Maipo,-33.615277,-70.350555,Guayacan DMC,8.4,EMA
97,Las Condes,-33.394999,-70.536666,Calán - DGA,8.2,EMA
98,San José de Maipo,-33.597499,-70.379443,Maipo Manzano DGA,7.7,EMA
99,Melipilla,-33.725556,-71.209722,Chocalán,7.4,EMA
100,Talagante,-33.6958333,-70.9236111,El Vergel - DGA,7.1,EMA
101,San José de Maipo,-33.809722,-70.210277,Rio Volcan  en Queltehues - DGA,6.8,EMA
102,San José de Maipo,-33.636388,-70.356944,San José de Maipo Retén - DGA,6.5,EMA
103,San José de Maipo,-33.7820843,-70.237239,San Gabriel DGA,6.4,EMA
104,Peñalolén,-33.500833,-70.514166,Qda Macul DGA,5.9,EMA
105,,-33.291,-71.289,Tapihue (DGA),5.7,EMA
106,,-33.323,-71.411,Casablanca (DGA),5.6,EMA
107,,-33.84,-71.367,Pozo Melipilla Ulmén (DGA),5.5,EMA
108,Talagante,-33.670277,-70.849444,Talagante DMC,5.5,EMA
109,,-34.035,-71.094,Villa Alhue (DGA),5.1,EMA
110,La Florida,-33.544999,-70.548333,AA La Florida DMC,4.9,EMA
111,Curacaví,-33.438888,-71.025277,Panguiles DGA,4.8,EMA
112,,-33.634,-71.51,Cerrillos de Leyda (DGA),4.7,EMA
113,,-34.078,-71.195,Barrera Loncha (DGA),4.4,EMA
114,La Reina,-33.45528,-70.54222,Aer. Tobalaba DMC,4.3,EMA
115,María Pinto,-33.508555,-71.084029,El Parrón,4.3,EMA
116,,-33.481,-71.281,Ibacache Alto (DGA),4.2,EMA
117,Pudahuel,-33.458055,-70.94861,Lo Prado DMC,4.2,EMA
118,Valparaiso,-33.041,-71.605,Valparaiso (DGA),4.2,EMA
119,Viña del Mar,-33.0367,-71.5342,V. del M. - Rodelillo (DMC),4.0,EMA
120,,-33.156,-71.312,Las Piedras (DGA),3.6,EMA
121,,-33.098,-71.215,Lliu Lliu Embalse (DGA),3.6,EMA
122,Pirque,-33.673888,-70.586666,Pirque DGA,3.2,EMA
123,Alhue,-34.029166,-70.994999,El Asiento INIA,3.2,EMA
124,San Pedro,-33.898055,-71.452777,San Pedro Melipilla  INIA,3.1,EMA
125,Viña del Mar,-33.0492,-71.5017,Jardín Botánico (DMC),3.0,EMA
126,Santiago,-33.445,-70.67778,Q. Normal DMC,2.9,EMA
127,Alhue,-34.065,71.2538888,Alhué,2.7,EMA
128,Buin,-33.718611111,-70.66917,Santa Rita,2.7,EMA
129,,-33.392,-71.121,Estadio Cuyuncavi,2.6,EMA
130,Pudahuel,-33.442221,-70.746666,San Pablo DMC,2.6,EMA
131,,-33.051,-71.115,Quebrada Alvarado (DGA),2.6,EMA
132,Curacavi,-33.411111,-71.167777,Curacavi DMC,2.5,EMA
133,,-33.145,-71.556,Lago Peñuela (DGA),2.5,EMA
134,Paine,-33.811111,-70.88361,Angostura en Valdivia de Paine (DGA),2.4,EMA
135,Nogales,-32.736389,-71.199167,Nogales (AG 34),2.4,EMA
136,San José de Maipo,-33.852,-70.198,Río Maipo en las Melosas,2.2,EMA
137,Peñaflor,-33.5716667,-71.1016667,Mallarauco - DGA,2.0,EMA
138,Isla de Maipo,-33.725554,-71.042499,Sn Antonio Naltahua INIA,1.9,EMA
139,Colina,-33.162222,-70.643055,Colina DMC,1.8,EMA
140,Puchuncaví,-32.754967,-71343432.0,Puchuncaví (AG 388),1.8,EMA
141,Buin,-33.7986592,-70.8413394,Valdivia de Paine,1.7,EMA
142,,-33.555,-70.823,Fundo Marruecos (DGA),1.6,EMA
143,Santiago,-33.44861,-70.64389,DGA - Terraza Central,1.6,EMA
144,Pudahuel,-33.37833,-70.79639,Aer. Pudahuel DMC,1.6,EMA
145,Buin,-33.754444,-70.764444,El Milagro DMC,1.5,EMA
146,Paine,-33.8858333,-70.8775,Laguna de Aculeo - DGA,1.4,EMA
147,Buin,-33.711666,-70.711944,Los Tilos (INIA),1.2,EMA
148,Viña del Mar,-32.94944,-71.47444,Aer. Torquemada (DMC),1.2,EMA
149,Lampa,-33.34368,-70.8185,Chorrillos,1.1,EMA
150,Colina,-33.268054,-70.732221,Lo Pinto DMC,0.9,EMA
151,Quintero,-32.7841666666666,-71.522777777,Quintero (DMC),0.9,EMA
152,Quillota,-32.896,-71.206,Quillota (DGA),0.8,EMA
153,,-33.284,-70.651,Chicureo (DGA),0.7,EMA
154,La Granja,-33.572777,-70.619721,La Platina (INIA),0.7,EMA
155,,-33.168,-71.147,Colliguay (DGA),0.7,EMA
156,Lampa,-33.286388,-70.83611,El Oasis INIA,0.5,EMA
157,Padre Hurtado,-33.562443,-70.875305,El Villorio,0.5,EMA
158,,-33.086,-70.802,Huechún Embalse (DGA),0.4,EMA
159,,-32.853,-71.121,Estero Rabuco (DGA),0.4,EMA
160,,-32.958,-71.345,Los Aromos (DGA),0.4,EMA
161,Lo Barnechea,-33.3086111,-70.357222,Río San Francisco a/j estero Yerba Loca - DGA,0.31,EMA
162,Talagante,-33.673332,-70.92111,Talagante FDF,0.3,EMA
163,Maipú,-33.497221,-70.845555,Rinconada INIA,0.2,EMA
164,La Cruz,-32.822,-71.2304,La Cruz (AG 284),0.1,EMA
165,Llay Llay,-32.88138889,-70.913055556,Las Peñas (DMC),0.1,EMA
166,,-32.948,-70.807,Fundo Las Bateas (DGA),0.0,EMA
167,,-33.073,-70.768,Huechún Andina (DGA),0.0,EMA
