,Latitud,Longitud,Alias,Precipitacion,Grupo
0,-33.5783328,-70.451299,El Canelo,80.0,RM
1,-33.586952,-70.466303,Las Vertientes,67.5,RM
2,-33.59083,-70.48583,La Obra DGF,58.0,RM
3,-33.578198,-70.405527,Alicura,56.0,RM
4,-33.762359,-70.279106,pachamos,50.0,RM
5,-33.356717,-70.479844,Arrayán - Estero,46.0,RM
6,-33.363563,-70.496013,San Enrique,45.0,RM
7,-33.365434,-70.498209,CasaIsidora,44.0,RM
8,-33.37354,-70.5041,La Posada MK,43.0,RM
9,-33.342583,-70.47025,POMcI,42.0,RM
10,-33.41068,-70.51288,Boldo,41.0,RM
11,-33.3497222222222,-70.5405555555556,Santa Blanca,39.5,RM
12,-33.41069,-70.51004,Marley,39.0,RM
13,-33.45683,-70.52308,Luciernaga,39.0,RM
14,-33.504061,-70.529608,Jorge,37.0,RM
15,-33.359998,-70.476821,Las tres hermanas,36.0,RM
16,-33.407573,-70.540641,Dominicos,36.0,RM
17,-33.003119,-70.999335,Los Quillayes,35.0,RM
18,-33.5260817,-70.5245883,Lo Cañas,35.0,RM
19,-33.434636,-70.522047,Petricor,34.8,RM
20,-33.3297222,-70.5038889,JPMG,34.6,RM
21,-33.332691,-70.524816,Panorámica,34.0,RM
22,-33.521069,-70.527356,Vista_cordillera,33.0,RM
23,-33.483862,-70.537926,rojo,33.0,RM
24,-33.39729444444444,-70.53663888888889,Calán - DGF,32.0,RM
25,-33.38146,-70.55663,Auri-001,31.0,RM
26,-33.43648,-70.54493,asilvam,30.7,RM
27,-33.38783,-70.553479,Escultor,30.0,RM
28,-33.634484,-70.35255,San José,30.0,RM
29,-33.4893921,-70.541795,Puyehue,30.0,RM
30,-33.52759,-70.67842,Zcs,30.0,RM
31,-33.452259,-70.554147,San Benito,29.0,RM
32,-33.002995,-70.997043,Profe Luis,29.0,RM
33,-33.0447222222222,-70.9913889,patorod,29.0,RM
34,-33.405679,-70.55212,pluv_lcbv,29.0,RM
35,-33.5821241,-70.5858865,CasaPabla,29.0,RM
36,-33.53132,-70.56046,Bougainvillea,29.0,RM
37,-33.459283,-70.56545,FG6189,28.0,RM
38,-33.423889,-70.557545,Dreal,27.0,RM
39,-33.566723,-70.592142,Guacolda,27.0,RM
40,-33.4333882,-70.6584614,Ado,27.0,RM
41,-33.3890092,-70.5560782,Villa El Dorado,26.0,RM
42,-33.4325123,-70.5797009,thequeen,26.0,RM
43,-33.52336,-70.56212,Miravalle,26.0,RM
44,-33.59039,-70.5734443,César3,26.0,RM
45,-33.42053,-70.5582,Salvador,26.0,RM
46,-33.3799,-70.62178,El Barrero,26.0,RM
47,-33.32,-70.43,SendaBlack2025,26.0,RM
48,-33.435005,-70.529998,HelsbyMate,25.0,RM
49,-33.64388888888889,-70.83833333333332,Condominio SCdL,25.0,RM
50,-33.53493,-70.57879,Costa Rica,24.0,RM
51,-33.457778,-70.756944,Auquinco,24.0,RM
52,-33.43551,-70.586153,El Belloto,24.0,RM
53,-33.4399552,-70.5770178,TOMACHO,24.0,RM
54,-33.487568,-70.574487,Ciudadana,24.0,RM
55,-33.54114,-70.62564,ElPepeCharquis,24.0,RM
56,-33.5387504,-70.58643,MDM,23.5,RM
57,-33.4624675,-70.6271803,Tomás,23.5,RM
