,Comuna,Latitud,Longitud,Alias,Precipitacion,Grupo
0,Til Til,-33.003119,-70.999335,Los Quillayes,85.0,RM
1,Til Til,-33.002995,-70.997043,Profe Luis,81.0,RM
2,Lampa,-33.255169,-70.881025,Lampa_Rural,62.0,RM
3,Lampa,-33.25,-70.8947,Malena,57.3,RM
4,Til Til,-33.0447222222222,-70.9913889,patorod,54.0,RM
5,Til Til,-33.07089722222223,-70.98711388888889,Asiento Viejo,52.0,RM
6,Padre Hurtado,-33.562211,-70.885686,Aromito,47.0,RM
7,Til Til,-33.1512806,-70.8892361,La Plazuela,45.0,RM
8,San José de Maipo,-33.5783328,-70.451299,El Canelo,44.0,RM
9,Til Til,-32.94729722222222,-70.75080833333334,Rincón de los Valle,44.0,RM
10,Til Til,-32.96924166666667,-70.83778333333333,Montenegro,43.5,RM
11,Til Til,-33.04158333333333,-70.98044444444444,Caleu Las Cortaderas,42.0,RM
12,Til Til,-32.93295833333333,-70.81376388888889,La Cumbre,42.0,RM
13,Padre Hurtado,-33.571829,-70.826461,fcoelectro,42.0,RM
14,Maipu,-33.52789,-70.76574,Quincho,42.0,RM
15,San Ramón,-33.54523,-70.6429,pekee2006,42.0,RM
16,Quilicura,-33.360389,-70.743528,Azul,41.0,RM
17,Lo Espejo,-33.514491,-70.694431,Loespuno,41.0,RM
18,San José de Maipo,-33.762359,-70.279106,El Ingenio,40.5,RM
19,Pudahuel,-33.457778,-70.756944,Auquinco,40.0,RM
20,Til Til,-33.095111111111116,-70.92550833333334,El Sauce,40.0,RM
21,Til Til,-32.99071111111111,-70.89506111111112,Rungue,40.0,RM
22,San José de Maipo,-33.578198,-70.405527,Alicura,40.0,RM
23,Calera de Tango,-33.63026,-70.75037,Almendros,39.0,RM
24,Til Til,-33.07725555555556,-70.9251,TilTil Centro,39.0,RM
25,San José de Maipo,-33.586952,-70.466303,Las Vertientes,39.0,RM
26,Pudahuel,-33.4542521,-70.748249,Scandium,39.0,RM
27,Maipú,-33.52718,-70.77573,Pepe Carter,38.0,RM
28,Buin,-33.7427629,-70.748651,Buin Centro,38.0,RM
29,Calera de Tango,-33.64388888888889,-70.83833333333332,Condominio SCdL,38.0,RM
30,Cerrillos,-33.5071009,-70.708747,Rocío,38.0,RM
31,La Cisterna,-33.527854,-70.669636,Nueva España,38.0,RM
32,Maipu,-33.48422,-70.76013,Isi,38.0,RM
33,Maipú,-33.498029,-70.741741,Tagua,37.0,RM
34,Pudahuel,-33.454455,-70.85234,MIGIOMI,36.8,RM
35,Cerro Navia,-33.41946,-70.72695,Nanocerro,36.0,RM
36,Til Til,-33.11244444444445,-70.79876944444445,Santa Matilde,35.7,RM
37,Til Til,-33.135,-70.7972222,Huertos Familiares,35.0,RM
38,Til Til,-33.118275,-70.84519444444445,Punta Peuco,35.0,RM
39,Peñalolén,-33.487568,-70.574487,Ciudadana,35.0,RM
40,Puente Alto,-33.60863,-70.53107,Cordillera,35.0,RM
41,Pedro Aguirre Cerda,-33.50933,-70.6739,Aguilera,35.0,RM
42,Til Til,-33.163019444444444,-70.78773333333334,Alto el Manzano,34.0,RM
43,Pedro Aguirre Cerda,-33.4917,-70.675,Abranquil,34.0,RM
44,La Cisterna ,-33.52158,-70.6577,Liceo RBL,34.0,RM
45,Santiago Centro,-33.443306,-70.6773,Chuca,34.0,RM
46,Maipu,-33.5047663,-70.754341,Munich,34.0,RM
47,San José de Maipo,-33.634484,-70.35255,San José,34.0,RM
48,Puente Alto,-33.601355,-70.515257,Vizcachas,33.5,RM
49,San Miguel,-33.51119,-70.66195,Fajardo,33.2,RM
50,San Ramón,-33.528298,-70.6411026,Pep9,33.0,RM
51,El Bosque,-33.563922,-70.6701799,SevenAlan,33.0,RM
52,La Cisterna,-33.5279343,-70.6488591,ElectroAdo,33.0,RM
53,Pudahuel,-33.466772,-70.86392,Ciudad de los Valles,32.5,RM
54,Vitacura,-33.395182,-70.588737,Vitacumbia,32.0,RM
55,Huechuraba,-33.347483,-70.663776,Los Guindos,32.0,RM
56,Pedro Aguirre Cerda,-33.4874038,-70.6606549,Panchito's house,32.0,RM
57,La Cisterna ,-33.52583,-70.667812,San Simón,32.0,RM
58,Quilicura,-33.35935,-70.72336,mawün,32.0,RM
59,La Florida,-33.566723,-70.592142,Guacolda,32.0,RM
60,Puente Alto,-33.5821241,-70.5858865,CasaPabla,32.0,RM
61,Renca,-33.40343,-70.70815,Djoko,32.0,RM
62,La Cisterna,-33.52055555555555,-70.66583333333334,Elparrita,32.0,RM
63,Puente Alto,-33.58335,-70.58658,Jack2007,32.0,RM
64,Lampa,-33.238399,-70.763968,Batuco,31.5,RM
65,Providencia,-33.436461,-70.620565,Ministro,31.0,RM
66,Til Til,-33.164083,-70.787468,AEM Til Til,31.0,RM
67,Pudahuel,-33.463888,-70.84333,AnGar,31.0,RM
68,La Granja,-33.5503022,-70.6243832,Casa Rodrigo Rojas,31.0,RM
69,Puente Alto,-33.59039,-70.5734443,César3,31.0,RM
70,San Miguel,-33.4973,-70.6554,La Marina,31.0,RM
71,Pedro Aguirre Cerda,-33.4987152,-70.6896665,Puente de patohi,30.5,RM
72,Olmue,-32.99055555555556,-71.18027777777779,Colibrí,30.0,RM
73,Ñuñoa,-33.4624675,-70.6271803,Tomás,30.0,RM
74,Maipu,-33.53858,-70.91284,Charly,30.0,RM
75,Maipú,-33.466594,-70.755906,Chercán,30.0,RM
76,Lo Barnechea,-33.3497222222222,-70.5405555555556,Santa Blanca,29.1,RM
77,Lo Barnechea,-33.332691,-70.524816,Panorámica,29.0,RM
78,ñuñoa,-33.449216,-70.606639,sucre- PdV,29.0,RM
79,La Florida,-33.521069,-70.527356,Vista_cordillera,29.0,RM
80,Vitacura,-33.3890092,-70.5560782,Villa El Dorado,29.0,RM
81,Peñalolén,-33.464228,-70.510042,Parque Cantalao,29.0,RM
82,Lo Espejo,-33.32,-70.43,SendaBlack2025,29.0,RM
83,Maipú,-33.50571,-70.74064,Lechuza,29.0,RM
84,La Florida,-33.5387504,-70.58643,MDM,28.0,RM
85,Ñuñoa,-33.456043,-70.598147,Morgana,28.0,RM
86,Providencia,-33.43551,-70.586153,El Belloto,28.0,RM
87,Ñuñoa,-33.4399552,-70.5770178,TOMACHO,28.0,RM
88,Vitacura,-33.38783,-70.553479,Escultor,28.0,RM
89,La Reina,-33.459283,-70.56545,FG6189,28.0,RM
90,La Cisterna,-33.51955,-70.65685,Arimikachi,28.0,RM
91,Las Pintana,-33.558016,-70.615033,Andy e Iván,28.0,RM
92,La Reina,-33.452259,-70.554147,San Benito,27.0,RM
93,Vitacura,-33.38146,-70.55663,Auri-001,27.0,RM
94,La Reina,-33.445699,-70.553097,OpaHouse,27.0,RM
95,Peñalolén,-33.4784758,-70.5516726,peñamex,27.0,RM
96,Las Condes,-33.4249222,-70.5821583,Cristobaldlm,27.0,RM
97,Las Condes,-33.426634,-70.587151,Teruel,27.0,RM
98,Pirque,-33.6493055555556,-70.6056388888889,IsaPir,27.0,RM
99,Las Condes,-33.41068,-70.51288,Boldo,27.0,RM
100,Las Condes,-33.405679,-70.55212,pluv_lcbv,27.0,RM
101,Ñuñoa,-33.445999,-70.588186,Pedro_Torres,27.0,RM
102,Lo Barnechea,-33.363563,-70.496013,San Enrique,27.0,RM
103,La Florida,-33.53132,-70.56046,Bougainvillea,27.0,RM
104,La Florida,-33.53039167,-70.56961667,Casa_Sary,26.5,RM
105,Lo Barnechea,-33.356717,-70.479844,Arrayán - Estero,26.0,RM
106,Las Condes,-33.423889,-70.557545,Dreal,26.0,RM
107,Colina,-33.260994,-70.644855,Ñipa,26.0,RM
108,La Reina,-33.4325123,-70.5797009,thequeen,26.0,RM
