,Comuna,Latitud,Longitud,Alias,Precipitacion,Grupo
0,Buin,-33.733116,-70.714982,Mechero,28.0,RM
1,Buin,-33.7427629,-70.748651,Buin Centro,26.0,RM
2,Buin,-33.74131,-70.679466,Azul m,25.0,RM
3,Buin,-33.747465,-70.735897,Linderos,25.0,RM
4,Buin,-33.7360603,-70.7140394,Petri,20.0,RM
5,Calera de Tango,-33.63026,-70.75037,Almendros,27.0,RM
6,Calera de Tango,-33.64388888888889,-70.83833333333332,Condominio SCdL,18.5,RM
7,Cerrillos,-33.5071009,-70.708747,Rocío,14.0,RM
8,Cerro Navia,-33.41946,-70.72695,Nanocerro,14.0,RM
9,Cerro Navia,-33.417376,-70.75786,Harry,6.0,RM
10,Colina,-33.2539999,-70.6294618,Piedraroja,16.0,RM
11,Colina,-33.307339,-70.660102,Chamisero,14.9,RM
12,Colina,-33.235,-70.673333,Chicureo,14.0,RM
13,Conchalí,-33.3900114,-70.681807378,SOL,10.0,RM
14,Curacaví,-33.393795,-71.03482,Tenca - WS2K,11.1,RM
15,El Bosque,-33.572039,-70.69446,Alambres_de_ocaso,14.8,RM
16,Estación Central,-33.4584952,-70.6983327,Gatos,13.0,RM
17,Estación Central ,-33.454825,-70.700096,Michito,12.0,RM
18,Huechuraba,-33.3799,-70.62178,El Barrero,18.0,RM
19,Huechuraba,-33.347483,-70.663776,Los Guindos,15.0,RM
20,Independencia,-33.401477,-70.659081,mochila,20.0,RM
21,La Cisterna,-33.527854,-70.669636,Nueva España,13.0,RM
22,La Florida,-33.566723,-70.592142,Guacolda,19.0,RM
23,La Florida,-33.53039167,-70.56961667,Casa_Sary,15.3,RM
24,La Florida,-33.5276739,-70.5779872,patio,15.0,RM
25,La Florida,-33.5387504,-70.58643,MDM,14.8,RM
26,La Florida,-33.52336,-70.56212,Miravalle,12.5,RM
27,La Pintana,-33.5754465,-70.6498304,Ronny,16.0,RM
28,La Reina,-33.43648,-70.54493,asilvam,12.0,RM
29,La Reina,-33.445699,-70.553097,OpaHouse,12.0,RM
30,La Reina,-33.452259,-70.554147,San Benito,12.0,RM
31,La Reina,-33.444734,-70.537295,sbolivar,11.5,RM
32,La Reina,-33.4325123,-70.5797009,thequeen,11.0,RM
33,Las Condes,-33.40635,-70.51399,FECHITA,15.0,RM
34,Las Condes,-33.405679,-70.55212,pluv_lcbv,14.0,RM
35,Las Condes,-33.40002,-70.54015,pie cerro Calán,13.0,RM
36,Las Condes,-33.4235356,-70.5772696,Av. Colon,13.0,RM
37,Las Condes,-33.4249222,-70.5821583,Cristobaldlm,12.0,RM
38,Las Condes,-33.426634,-70.587151,Teruel,11.0,RM
39,Las Condes,-33.41354,-70.58728,MPM,11.0,RM
40,Las Condes,-33.423889,-70.557545,Dreal,10.0,RM
41,Las Condes,-33.425362,-70.5760264,CASASOPA,7.0,RM
42,Lo Barnechea,-33.31861,-70.233055,trespuntas,32.3,RM
43,Lo Barnechea,-33.3497222222222,-70.5405555555556,LAR,17.1,RM
44,Lo Barnechea,-33.342583,-70.47025,POMcI,15.0,RM
45,Lo Barnechea,-33.359998,-70.476821,Las tres hermanas,15.0,RM
46,Lo Barnechea,-33.363563,-70.496013,San Enrique,14.0,RM
47,Lo Barnechea,-33.332691,-70.524816,Panorámica,13.0,RM
48,Lo Barnechea,-33.35084,-70.51874,Bruno,11.0,RM
49,Lo Barnechea,-33.330085,-70.521384,ADRI,10.0,RM
50,Lo Espejo,-33.514491,-70.694431,Loespuno,17.8,RM
51,Macul,-33.481192,-70.596257,patioeric,13.0,RM
52,Macul,-33.487645,-70.59676,Macul,8.0,RM
53,Maipu,-33.584984,-70.5590161,puentealto,16.0,RM
54,Maipu,-33.512062,-70.769442,Maipu_Templo,13.5,RM
55,Maipu,-33.514972,-70.786711,Anis,12.0,RM
56,Maipu,-33.504287,-70.783822,Tachuris,10.7,RM
57,Maipu,-33.55672433,-70.7812371,AMC,9.0,RM
58,Melipilla,-33.5761125,-71.0873969,AgricHarrison,22.0,RM
59,Ñuñoa,-33.4609,-70.594277,Johow,13.0,RM
60,Ñuñoa,-33.456043,-70.598147,Morgana,13.0,RM
61,Ñuñoa,-33.44642,-70.58054,Mofeta,13.0,RM
62,Ñuñoa,-33.464448,-70.622927,Cancha,11.0,RM
63,Olmue,-33.0523818,-71.1135032,Caroqba,30.0,RM
64,Olmue,-32.99055555555556,-71.18027777777779,Colibrí,30.0,RM
65,Paine,-33.865012,-70.624326,Mortero,40.0,RM
66,Paine,-33.820417,-70.741041,Probeta,31.3,RM
67,Paine,-33.8640897,-70.6385446,Matraz,31.0,RM
68,Paine,-33.8333749,-70.64683,Espátula,29.0,RM
69,Paine,-33.8339166666667,-70.6473333333333,Tubo de ensayo,29.0,RM
70,Paine,-33.825849,-70.646401,Guantes,27.0,RM
71,Paine,-33.8398874,-70.6385782,Gafas de Seguridad,25.0,RM
72,Paine,-33.82136,-70.64788,cubreobjetos,25.0,RM
73,Pedro Aguirre Cerda,-33.4917,-70.675,Abranquil,15.0,RM
74,Peñalolén,-33.4784758,-70.5516726,peñamex,13.0,RM
75,Peñalolén,-33.50167,-70.586438,Terra-Aqua,13.0,RM
76,Peñalolén,-33.4733008,-70.5329882,CasaAnto,12.0,RM
77,Pirque,-33.6493055555556,-70.6056388888889,IsaPir,22.0,RM
78,Pirque,-33.6294445,-70.5776333,Riomaipo,19.0,RM
79,Providencia,-33.436461,-70.620565,Ministro,12.0,RM
80,Providencia,-33.4401249,-70.600959,Tranqui,11.0,RM
81,Pudahuel,-33.466772,-70.86392,Ciudad de los Valles,15.0,RM
82,Pudahuel,-33.463888,-70.84333,AnGar,12.0,RM
83,Pudahuel,-33.457778,-70.756944,Auquinco,9.0,RM
84,Puente Alto,-33.588537,-70.559082,Chucao,22.0,RM
85,Puente Alto,-33.60863,-70.53107,El Páramo,20.0,RM
86,Puente Alto,-33.576725,-70.56600833333333,Puente1,19.0,RM
87,Puente Alto,-33.58549,-70.58528,Radae,18.0,RM
88,Puente Alto,-33.5788263,-70.5941799,makizone,18.0,RM
89,Puente Alto,-33.5821241,-70.5858865,CasaPabla,13.0,RM
90,Quilicura,-33.3621036,-70.7231821,kulakura,15.0,RM
91,Quilicura,-33.3595,-70.73047,Huentenao,13.0,RM
92,Quilicura,-33.354362,-70.731295,DelTrigal,13.0,RM
93,Quinta Normal,-33.4128931,-70.7105162,Casa,15.0,RM
94,San Bernardo,-33.61697,-70.687,LaSelva,24.0,RM
95,San Bernardo,-33.612675,-70.72276,Hueñimalal,22.0,RM
96,San José de Maipo,-33.5783328,-70.451299,El Canelo,29.0,RM
97,San José de Maipo,-33.594661,-70.379611,manzano,27.0,RM
98,San Miguel,-33.4973,-70.6554,La Marina,10.0,RM
99,Santiago Centro,-33.443306,-70.6773,Chuca,13.0,RM
100,Til Til,-33.003119,-70.999335,Los Quillayes,96.0,RM
101,Til Til,-33.002995,-70.997043,Profe Luis,80.0,RM
102,Til Til,-32.99071111111111,-70.89506111111112,Rungue,54.0,RM
103,Til Til,-33.07089722222223,-70.98711388888889,Asiento Viejo,42.0,RM
