,Comuna,Latitud,Longitud,Alias,Precipitacion,Grupo
0,Calera de Tango,-33.63026,-70.75037,Almendros,1.5,RM
1,Calera de Tango,-33.64388888888889,-70.83833333333332,Condominio SCdL,1.0,RM
2,Colina,-33.307339,-70.660102,Chamisero,1.8,RM
3,Colina,-33.2539999,-70.6294618,Piedraroja,1.0,RM
4,El Monte,-33.68048,-70.998302,Coipocho,2.5,RM
5,Isla de Maipo,-33.704432,-70.89853,Granortu,0.5,RM
6,La Cisterna ,-33.52583,-70.667812,San Simón,1.0,RM
7,La Cruz,-32.8508333,-71.223333,Campanario La Cruz,2.0,V-R
8,La Florida,-33.51899,-70.52299,Alto Macul,4.0,RM
9,La Florida,-33.521069,-70.527356,Vista_cordillera,3.0,RM
10,La Florida,-33.5387504,-70.58643,MDM,1.5,RM
11,La Florida,-33.566723,-70.592142,Guacolda,1.0,RM
12,La Florida ,-33.5260817,-70.5245883,Lo Cañas,4.2,RM
13,La Reina,-33.44194,-70.56306,Tadeo,3.0,RM
14,La Reina,-33.44535,-70.54923,PBurchard,2.8,RM
15,La Reina,-33.434636,-70.522047,Petricor,2.8,RM
16,La Reina,-33.4479073,-70.5454391,Zapiola,2.3,RM
17,La Reina,-33.435005,-70.529998,HelsbyMate,2.0,RM
18,La Reina,-33.4325123,-70.5797009,thequeen,2.0,RM
19,Lampa,-33.32,-70.75,Valle Grande,0.5,RM
20,Las Condes,-33.37354,-70.5041,La Posada MK,4.0,RM
21,Las Condes,-33.379558,-70.519431,Huerta_JLG,3.0,RM
22,Las Condes,-33.40635,-70.51399,FECHITA,3.0,RM
23,Las Condes,-33.43369,-70.514947,Aguas de Ramón,2.4,RM
24,Las Condes,-33.423889,-70.557545,Dreal,2.0,RM
25,Las Condes,-33.4249222,-70.5821583,Cristobaldlm,2.0,RM
26,Las Condes,-33.405679,-70.55212,pluv_lcbv,2.0,RM
27,Las Condes,-33.42053,-70.5582,Salvador,0.0,RM
28,Lo Barnechea,-33.31861,-70.233055,trespuntas,21.4,RM
29,Lo Barnechea,-33.342583,-70.47025,POMcI,6.0,RM
30,Lo Barnechea,-33.363563,-70.496013,San Enrique,5.5,RM
31,Lo Barnechea,-33.356717,-70.479844,Arrayán - Estero,4.8,RM
32,Lo Barnechea,-33.332691,-70.524816,Panorámica,3.5,RM
33,Lo Barnechea,-33.359998,-70.476821,Las tres hermanas,3.0,RM
34,Lo Barnechea,-33.3497222222222,-70.5405555555556,Santa Blanca,2.6,RM
35,Lo Espejo,-33.514491,-70.694431,Loespuno,2.0,RM
