,Comuna,Latitud,Longitud,Alias,Precipitacion,Grupo
0,San José de Maipo,-33.762359,-70.279106,El Ingenio,50.0,RM
1,San José de Maipo,-33.5783328,-70.451299,El Canelo,34.0,RM
2,San José de Maipo,-33.586952,-70.466303,Las Vertientes,32.0,RM
3,San José de Maipo,-33.578198,-70.405527,Alicura,32.0,RM
4,San José de Maipo,-33.634484,-70.35255,San José,31.0,RM
5,Puente Alto,-33.60863,-70.53107,Cordillera,23.0,RM
6,La Florida ,-33.5260817,-70.5245883,Lo Cañas,21.0,RM
7,La Florida,-33.521069,-70.527356,Vista_cordillera,19.0,RM
8,Puente Alto,-33.59039,-70.5734443,César3,19.0,RM
9,Puente Alto,-33.5821241,-70.5858865,CasaPabla,19.0,RM
10,Peñalolén,-33.50167,-70.586438,Terra-Aqua,18.0,RM
11,La Florida,-33.566723,-70.592142,Guacolda,18.0,RM
12,La Florida,-33.53132,-70.56046,Bougainvillea,18.0,RM
13,La Florida,-33.53493,-70.57879,Costa Rica,17.0,RM
14,La Florida,-33.5387504,-70.58643,MDM,16.5,RM
15,Vitacura,-33.395182,-70.588737,Vitacumbia,16.0,RM
16,Lo Barnechea,-33.356717,-70.479844,Arrayán - Estero,16.0,RM
17,Padre Hurtado,-33.571829,-70.826461,fcoelectro,16.0,RM
18,Peñalolén,-33.504061,-70.529608,Jorge,16.0,RM
19,Lo Barnechea,-33.363563,-70.496013,San Enrique,16.0,RM
20,Lo Espejo,-33.514491,-70.694431,Loespuno,16.0,RM
21,Lo Barnechea,-33.365434,-70.498209,CasaIsidora,16.0,RM
22,Peñalolén,-33.4893921,-70.541795,Puyehue,16.0,RM
23,Vitacura,-33.38146,-70.55663,Auri-001,15.1,RM
24,Vitacura,-33.3890092,-70.5560782,Villa El Dorado,15.0,RM
25,La Reina,-33.4325123,-70.5797009,thequeen,15.0,RM
26,Las Condes,-33.40635,-70.51399,FECHITA,15.0,RM
27,Vitacura,-33.38783,-70.553479,Escultor,15.0,RM
28,La Reina,-33.459283,-70.56545,FG6189,15.0,RM
29,Maipú,-33.498029,-70.741741,Tagua,15.0,RM
30,Pañalolén,-33.483862,-70.537926,rojo,15.0,RM
31,Peñalolén,-33.4733008,-70.5329882,CasaAnto,15.0,RM
32,Las Condes,-33.42053,-70.5582,Salvador,15.0,RM
33,Pedro Aguirre Cerda,-33.50933,-70.6739,Aguilera,15.0,RM
34,La Reina,-33.434636,-70.522047,Petricor,14.8,RM
35,Las Condes,-33.407573,-70.540641,Dominicos,14.3,RM
36,Lo Barnechea,-33.332691,-70.524816,Panorámica,14.0,RM
37,La Reina,-33.445699,-70.553097,OpaHouse,14.0,RM
38,Ñuñoa,-33.4399552,-70.5770178,TOMACHO,14.0,RM
39,Lo Barnechea,-33.342583,-70.47025,POMcI,14.0,RM
40,Las Condes,-33.426634,-70.587151,Teruel,14.0,RM
41,Pedro Aguirre Cerda,-33.4874038,-70.6606549,Panchito's house,14.0,RM
42,Las Condes,-33.37354,-70.5041,La Posada MK,14.0,RM
43,Las Condes,-33.41068,-70.51288,Boldo,14.0,RM
44,Las Condes,-33.405679,-70.55212,pluv_lcbv,14.0,RM
45,La Florida,-33.52336,-70.56212,Miravalle,14.0,RM
46,La Reina,-33.45683,-70.52308,Luciernaga,14.0,RM
47,Maipu,-33.55672433,-70.7812371,AMC,14.0,RM
48,Maipu,-33.512062,-70.769442,Maipu_Templo,14.0,RM
49,Las Condes,-33.402676,-70.542935,casona,14.0,RM
50,El Bosque,-33.563922,-70.6701799,SevenAlan,14.0,RM
51,Las Pintana,-33.558016,-70.615033,Andy e Iván,14.0,RM
52,La Reina,-33.43648,-70.54493,asilvam,13.8,RM
53,San Miguel,-33.51119,-70.66195,Fajardo,13.8,RM
54,Vitacura,-33.383186,-70.579557,Borderío,13.5,RM
55,Lo Barnechea,-33.3497222222222,-70.5405555555556,Santa Blanca,13.5,RM
56,Pedro Aguirre Cerda,-33.49152,-70.689035,Lo Valledor,13.5,RM
57,El Bosque,-33.5594024,-70.665702,Chancaleo,13.5,RM
58,Maipu,-33.52789,-70.76574,Quincho,13.1,RM
59,La Reina,-33.452259,-70.554147,San Benito,13.0,RM
60,Huechuraba,-33.347483,-70.663776,Los Guindos,13.0,RM
61,La Cisterna ,-33.52158,-70.6577,Liceo RBL,13.0,RM
62,Ñuñoa,-33.4609,-70.594277,Johow,13.0,RM
63,Lo Barnechea,-33.347133,-70.482523,Arrayán,13.0,RM
64,Cerrillos,-33.5071009,-70.708747,Rocío,13.0,RM
65,La Reina,-33.44194,-70.56306,Tadeo,13.0,RM
66,La Cisterna,-33.51955,-70.65685,Arimikachi,13.0,RM
67,La Cisterna,-33.5279343,-70.6488591,ElectroAdo,13.0,RM
68,Lo Barnechea,-33.3297222,-70.5038889,JPMG,12.6,RM
69,Lo Barnechea,-33.359998,-70.476821,Las tres hermanas,12.0,RM
70,Providencia,-33.436461,-70.620565,Ministro,12.0,RM
71,La Reina,-33.435005,-70.529998,HelsbyMate,12.0,RM
72,Cerro Navia,-33.41946,-70.72695,Nanocerro,12.0,RM
73,Colina,-33.260994,-70.644855,Ñipa,12.0,RM
74,San Bernardo,-33.612675,-70.72276,Hueñimalal,12.0,RM
75,Pirque,-33.6493055555556,-70.6056388888889,IsaPir,12.0,RM
76,Ñuñoa,-33.450585,-70.591376,Brownpoint,12.0,RM
77,Peñalolén,-33.487568,-70.574487,Ciudadana,12.0,RM
78,Conchalí,-33.38773,-70.65886,Conchalí 1,12.0,RM
79,San Ramón,-33.528298,-70.6411026,Pep9,12.0,RM
80,Maipu,-33.48422,-70.76013,Isi,11.5,RM
81,Pudahuel,-33.457778,-70.756944,Auquinco,11.0,RM
82,Colina,-33.307339,-70.660102,Chamisero,11.0,RM
83,Colina,-33.2539999,-70.6294618,Piedraroja,11.0,RM
84,Santiago Centro,-33.46936111111111,-70.65347222222223,Melissandra,11.0,RM
85,La Cisterna ,-33.52583,-70.667812,San Simón,11.0,RM
86,Ñuñoa,-33.445999,-70.588186,Pedro_Torres,11.0,RM
87,Maipu,-33.5047663,-70.754341,Munich,11.0,RM
88,La Granja,-33.54114,-70.62564,ElPepeCharquis,11.0,RM
89,Colina,-33.235,-70.673333,Chicureo,10.0,RM
90,Pedro Aguirre Cerda,-33.4917,-70.675,Abranquil,10.0,RM
91,Til Til,-33.003119,-70.999335,Los Quillayes,10.0,RM
92,Huechuraba,-33.3799,-70.62178,El Barrero,10.0,RM
93,Renca,-33.40343,-70.70815,Djoko,10.0,RM
94,Santiago,-33.45583333333334,-70.66250000000001,Beauchef,10.0,RM
95,Lampa,-33.238399,-70.763968,Batuco,10.0,RM
96,La Cisterna ,-33.52759,-70.67842,Zcs,10.0,RM
97,Maipú,-33.52718,-70.77573,Pepe Carter,9.0,RM
98,Las Condes,-33.41354,-70.58728,MPM,9.0,RM
99,Til Til,-33.04158333333333,-70.98044444444444,Caleu Las Cortaderas,9.0,RM
100,Til Til,-33.0447222222222,-70.9913889,patorod,9.0,RM
101,Lampa,-33.255169,-70.881025,Lampa_Rural,9.0,RM
102,Ñuñoa,-33.4624675,-70.6271803,Tomás,9.0,RM
103,San Bernardo,-33592121.0,-70707756.0,Saitama,9.0,RM
104,Maipú,-33.53931,-70.77602,Pingüino,9.0,RM
105,Til Til,-33.11244444444445,-70.79876944444445,Santa Matilde,8.6,RM
106,Lampa,-33.25,-70.8947,Malena,8.5,RM
107,Til Til,-30.1512806,-70.8892361,La Plazuela,8.5,RM
108,Calera de Tango,-33.63026,-70.75037,Almendros,8.0,RM
109,Til Til,-33.135,-70.7972222,Huertos Familiares,8.0,RM
110,Padre Hurtado,-33.562211,-70.885686,Aromito,8.0,RM
111,El Monte,-33.68048,-70.998302,Coipocho,7.6,RM
112,Til Til,-33.07089722222223,-70.98711388888889,Asiento Viejo,7.5,RM
113,Pudahuel,-33.466772,-70.86392,Ciudad de los Valles,7.0,RM
114,Til Til,-33.002995,-70.997043,Profe Luis,7.0,RM
115,Til Til,-33.118275,-70.84519444444445,Punta Peuco,7.0,RM
116,Til Til,-32.94729722222222,-70.75080833333334,Rincón de los Valle,7.0,RM
117,Calera de Tango,-33.64388888888889,-70.83833333333332,Condominio SCdL,7.0,RM
118,Pudahuel,-33.454455,-70.85234,MIGIOMI,6.9,RM
119,TilTil,-33.07725555555556,-70.9251,TilTil Centro,6.5,RM
120,Til Til,-33.095111111111116,-70.92550833333334,El Sauce,6.5,RM
121,Til Til,-32.93295833333333,-70.81376388888889,La Cumbre,6.5,RM
122,Til Til,-33.07638333333334,-70.94580555555557,Los Quilos ,6.5,RM
123,Til Til,-32.96924166666667,-70.83778333333333,Montenegro,6.1,RM
124,Til Til,-33.164083,-70.787468,AEM Til Til,6.0,RM
125,Isla de Maipo,-33.704432,-70.89853,Granortu,6.0,RM
126,Peñaflor,-33.6044444,-70.8980556,BATA,4.0,RM
127,Olmue,-32.99055555555556,-71.18027777777779,Colibrí,4.0,RM
128,La Cisterna,-33.52055555555555,-70.66583333333334,Elparrita,10.0,RM
129,SanJosé de Maipo,-33.665833333,-70.1077778,Laguna Negra DGA,60.3,EMA
130,San José de Maipo,-33.6767,-70.0886,El Yeso Embalse - DGA,54.0,EMA
131,San José de Maipo,-33.636388,-70.356944,San José de Maipo Retén - DGA,32.8,EMA
132,San José de Maipo,-33.5902778,-70.4852778,La Obra EMOS DGA,32.3,EMA
133,San José de Maipo,-33.597499,-70.379443,Maipo Manzano DGA,32.3,EMA
134,San José de Maipo,-33.615277,-70.350555,Guayacan DMC,26.8,EMA
135,Lo Barnechea,-33.344444,-70.363889,Estero Yerba Loca a/j San Fco.,23.0,EMA
136,Alhue,-34.029166,-70.994999,El Asiento INIA,22.7,EMA
137,Alhue,-34.065,71.2538888,Alhué,20.4,EMA
138,Lo Barnechea,-33.37361,-70.396388,Rio Molina DGA,19.8,EMA
139,San Pedro,-33.898055,-71.452777,San Pedro Melipilla  INIA,19.7,EMA
140,San Pedro,-33.8913888,-71.3941667,San Pedro,19.6,EMA
141,Peñalolén,-33.500833,-70.514166,Qda Macul DGA,17.8,EMA
142,Melipilla,-33.650277,-71.100277,Melipilla FDF,17.5,EMA
143,Pudahuel,-33.458055,-70.94861,Lo Prado DMC,16.8,EMA
144,Melipilla,-33.8908333,-71.233611,Los Guindos - DGA,15.9,EMA
145,Melipilla,-33.661388,-71.336944,Estero Puangue - DGA,15.8,EMA
146,La Granja,-33.572777,-70.619721,La Platina (INIA),15.3,EMA
147,Las Condes,-33.394999,-70.536666,Calán - DGA,14.9,EMA
148,Pirque,-33.673888,-70.586666,Pirque DGA,13.7,EMA
149,Paine,-33.861944,-70.639166,Huelquén FDF,13.6,EMA
150,Melipilla,-33.767499,-71.530554,Cabimbao DGA,13.1,EMA
151,La Reina,-33.45528,-70.54222,Aer. Tobalaba DMC,13.0,EMA
152,Peñaflor,-33.5716667,-71.1016667,Mallarauco - DGA,12.2,EMA
153,San Antonio,-33.736215,-71.421579,Cuncumén INIA,11.3,EMA
154,Buin,-33.754444,-70.764444,El Milagro DMC,11.2,EMA
155,Colina,-33.2488,-70.72322,Chacabuco - INIA,11.1,EMA
156,Melipilla,-33.680277,-71.1997,Melipilla Esc. Tec. DGA,11.0,EMA
157,Santiago,-33.445,-70.67778,Q. Normal DMC,11.0,EMA
