,Comuna,Latitud,Longitud,Alias,Precipitacion,Grupo
0,Caleu,-32.99657,-70.95172,Espinalillo,6.0,RM
1,Caleu,-33.002995,-70.997043,Profe Luis,1.0,RM
2,Caleu,-33.0447222222222,-70.9913889,patorod,0.0,RM
3,Cerro Navia,-33.41946,-70.72695,Nanocerro,3.0,RM
4,Colina,-33.260994,-70.644855,Ñipa,7.0,RM
5,Colina,-33.307339,-70.660102,Chamisero,3.0,RM
6,Huechuraba,-33.3799,-70.62178,El Barrero,5.0,RM
7,La Florida,-33.5387504,-70.58643,MDM,7.0,RM
8,La Florida,-33.566723,-70.592142,Guacolda,6.0,RM
9,La Florida,-33.52336,-70.56212,Miravalle,5.0,RM
10,La Reina,-33.452259,-70.554147,San Benito,7.0,RM
11,La Reina,-33.43648,-70.54493,asilvam,6.3,RM
12,La Reina,-33.4325123,-70.5797009,thequeen,4.0,RM
13,Las Condes,-33.405679,-70.55212,pluv_lcbv,10.0,RM
14,Las Condes,-33.379558,-70.519431,Huerta_JLG,7.5,RM
15,Lo Barnechea,-33.332691,-70.524816,Panorámica,10.0,RM
16,Lo Barnechea,-33.342583,-70.47025,POMcI,10.0,RM
17,Lo Barnechea,-33.363563,-70.496013,San Enrique,10.0,RM
18,Lo Barnechea,-33.3497222222222,-70.5405555555556,LAR,9.6,RM
19,Lo Barnechea,-33.359998,-70.476821,Las tres hermanas,9.0,RM
20,Lo Barnechea,-33.330085,-70.521384,ADRI,9.0,RM
21,Lo Barnechea,-33.3297222,-70.5038889,JPMG,8.1,RM
22,Lo Barnechea,-33.347483,-70.663776,Los Guindos,2.0,RM
23,Macul,-33.481192,-70.596257,patioeric,6.0,RM
24,Melipilla,-33.5761125,-71.0873969,AgricHarrison,4.0,RM
25,Ñuñoa,-33.467595,-70.620413,Villa Olímpica,5.0,RM
26,Ñuñoa,-33.4609,-70.594277,Johow,4.0,RM
27,Ñuñoa,-33.456043,-70.598147,Morgana,3.0,RM
28,Peñaflor,-33.5951716,-70.8549146,FernandoM1,4.0,RM
29,Peñalolén,-33.5005704,-70.539494,Pirquera,7.0,RM
30,Peñalolén,-33.50167,-70.586438,Terra-Aqua,5.0,RM
31,Pirque,-33.6493055555556,-70.6056388888889,IsaPir,5.0,RM
32,Providencia,-33.43493,-70.609567,Estanques,4.0,RM
33,Pudahuel,-33.457778,-70.756944,Auquinco,3.0,RM
34,Puente Alto,-33.60863,-70.53107,El Páramo,10.0,RM
35,Puente Alto,-33.60863,-70.53107,Cordillera,10.0,RM
36,Quilicura,-33.3595,-70.73047,Huentenao,2.0,RM
37,Quinta Normal,-33.43512,-70.69548,Marina,3.0,RM
38,Santiago,-33.456944444444446,-70.66166666666668,DGF,2.3,RM
39,San Bernardo,-33.612675,-70.72276,Hueñimalal,3.0,RM
40,Talagante,-33.703533,-70.852514,Lonquén,2.0,RM
41,Til Til,-33.164083,-70.787468,AEM Til Til,3.0,RM
42,TilTil,-33.07725555555556,-70.9251,TilTil Centro,0.8,RM
43,Vitacura,-33.383186,-70.579557,Borderío,3.9,RM
44,Vitacura,-33.38783,-70.553479,Escultor,3.0,RM
45,,-33.495277,-70.137221,Rio Olivares a/j Rio Colorado - DGA,19.7,EMA
46,San José de Maipo,-33.636388,-70.356944,San José de Maipo - DGA,13.9,EMA
47,San José de Maipo,-33.615277,-70.350555,San José de Guayacan - DMC,13.7,EMA
48,San José de Maipo,-33.597499,-70.379443,Rio Maipo en el  Manzano - DGA,11.9,EMA
49,Peñalolén,-33.500833,-70.514166,Quebrada de Macul - DGA,11.4,EMA
50,Lo Barnechea,-33.37361,-70.396388,Rio Molina a/j San Francisco - DGA,10.6,EMA
51,Pirque,-33.673888,-70.586666,Pirque - DGA,10.3,EMA
52,Lo Barnechea,-33.3086111,-70.357222,Río San Francisco a/j estero Yerba Loca - DGA,10.2,EMA
53,,-34.029282,-70.995098,El Asiento - AG511,8.9,EMA
54,La Pintana,-33.56987,-70.627972833,La Platina - AG162,8.2,EMA
55,,-33.843055556,-70.619722222,Pérez Cruz - AG224,8.2,EMA
56,,-33.862083,-70.639194,Huelquén - AG47,7.7,EMA
57,Curacavi,-33.411111,-71.167777,Curacavi - DMC,7.5,EMA
58,Pirque,-33.671388889,-70.581666667,William Febre AG 219,7.2,EMA
59,Melipilla,-33.680277,-71.2,Melipilla - DGA,7.0,EMA
60,Melipilla,-33.8908333,-71.233611,Los Guindos - DGA,6.7,EMA
61,,-33.703027,-71.37186,San Diego - AG39,6.7,EMA
62,,-33.736215,-71.421579,Cuncumén - AG559,5.8,EMA
63,,-33.1471111,-70.6602222,Peldehue - AG438,5.6,EMA
64,Melipilla,-33.65,-71.1,Melipilla - AG44,5.4,EMA
65,Las Condes,-33.394999,-70.536666,Cerro Calán - DGA,5.2,EMA
66,Colina,-33.162222,-70.643055,Colina - DMC,5.2,EMA
67,Melipilla,-33.661388,-71.336944,Estero Puangue - DGA,5.1,EMA
