,Comuna,Latitud,Longitud,Alias,Precipitacion,Grupo
0,Calera de Tango,-33.63026,-70.75037,Almendros,4.0,RM
1,Calera de Tango,-33.64388888888889,-70.83833333333332,Condominio SCdL,1.0,RM
2,Cerrillos,-33.5071009,-70.708747,Rocío,5.0,RM
3,Cerro Navia,-33.41946,-70.72695,Nanocerro,1.0,RM
4,Colina,-33.235,-70.673333,Chicureo,12.0,RM
5,Colina,-33.2539999,-70.6294618,Piedraroja,11.0,RM
6,Colina,-33.307339,-70.660102,Chamisero,10.0,RM
7,Conchalí,-33.38773,-70.65886,Conchalí 1,7.0,V-R
8,Conchalí,-33.375257,-70.680028,Astrocolón,6.0,RM
9,Isla de Maipo,-33.744106,-70.863889,Achepé,1.0,RM
10,Isla de Maipo,-33.704432,-70.89853,Granortu,1.0,RM
11,La Cisterna,-33.527854,-70.669636,Nueva España,9.0,RM
12,La Florida,-33.566723,-70.592142,Guacolda,11.0,RM
13,La Florida,-33.528457,-70.552391,Yakana,9.0,RM
14,La Florida,-33.53039167,-70.56961667,Casa_Sary,8.5,RM
15,La Florida,-33.5387504,-70.58643,MDM,8.3,RM
16,La Florida ,-33.5260817,-70.5245883,Lo Cañas,13.8,RM
17,La Reina,-33.43648,-70.54493,asilvam,18.5,RM
18,La Reina,-33.432775,-70.51780555555555,Parque Aguas de Ramón,17.5,RM
19,La Reina,-33.434636,-70.522047,Petricor,16.0,RM
20,La Reina,-33.44535,-70.54923,PBurchard,15.0,RM
21,La Reina,-33.4325123,-70.5797009,thequeen,13.0,RM
22,La Reina,-33.459283,-70.56545,FG6189,13.0,RM
23,La Reina,-33.4479073,-70.5454391,Zapiola,12.8,RM
24,La Reina,-33.45751,-70.56021,Yeye,12.0,RM
25,La Reina,-33.45498,-70.56382,Nazarit,11.7,RM
26,Lampa,-33.218202,-70.783108,Carter,6.0,RM
27,Lampa,-33.32,-70.75,Valle Grande,4.0,RM
28,Las Condes,-33.429476,-70.55961,Huara-Huara,18.0,RM
