,Comuna,Latitud,Longitud,Alias,Precipitacion,Grupo
0,Buin,-33.7427629,-70.748651,Buin Centro,35.0,RM
1,Buin,-33.747465,-70.735897,Linderos,33.0,RM
2,Calera de Tango,-33.63026,-70.75037,Almendros,31.0,RM
3,Calera de Tango ,-33.64388888888889,-70.83833333333332,Condominio SCdL,30.0,RM
4,Cerrillos,-33.5071009,-70.708747,Rocío,30.0,RM
5,Cerro Navia,-33.41946,-70.72695,Nanocerro,25.0,RM
6,Cerro Navia,-33.417376,-70.75786,Harry,18.0,RM
7,Colina,-33.2539999,-70.6294618,Piedraroja,34.0,RM
8,Colina,-33.235,-70.673333,Chicureo,30.0,RM
9,Colina,-33.307339,-70.660102,Chamisero,25.0,RM
10,Conchalí,-33.38773,-70.65886,Conchalí 1,27.0,RM
11,Huechuraba,-33.3799,-70.62178,El Barrero,30.2,RM
12,Huechuraba,-33.347483,-70.663776,Los Guindos,30.0,RM
13,La Cisterna,-33.527854,-70.669636,Nueva España,28.0,RM
14,La Cisterna,-33.53351,-70.66997,Cist,28.0,RM
15,La Florida,-33.53039167,-70.56961667,Casa_Sary,35.0,RM
16,La Florida,-33.52336,-70.56212,Miravalle,31.0,RM
17,La Florida,-33.5387504,-70.58643,MDM,28.0,RM
18,Lampa,-33.32084,-70.74987,Hubble,24.0,RM
19,La Florida ,-33.5260817,-70.5245883,Lo Cañas,39.0,RM
20,La Reina,-33.43648,-70.54493,asilvam,38.0,RM
21,La Reina,-33.459283,-70.56545,FG6189,34.0,RM
22,La Reina,-33.445699,-70.553097,OpaHouse,32.0,RM
23,La Reina,-33.435005,-70.529998,HelsbyMate,30.0,RM
24,La Reina,-33.4325123,-70.5797009,thequeen,30.0,RM
25,La Reina,-33.45492,-70.56167,Milna,30.0,RM
26,La Reina,-33.452259,-70.554147,San Benito,28.0,RM
27,Las Condes,-33.40635,-70.51399,FECHITA,38.0,RM
28,Las Condes,-33.40002,-70.54015,pie cerro Calán,35.0,RM
29,Las Condes,-33.39729444444444,-70.53663888888889,Calán - DGF,31.5,RM
30,Las Condes,-33.4249222,-70.5821583,Cristobaldlm,30.0,RM
31,Las Condes,-33.426634,-70.587151,Teruel,30.0,RM
32,Las Condes,-33.379558,-70.519431,Huerta_JLG,29.0,RM
33,Las Condes,-33.423889,-70.557545,Dreal,27.0,RM
34,Lo Barnechea,-33.342583,-70.47025,POMcI,50.0,RM
35,Lo Barnechea,-33.356717,-70.479844,Arrayán,44.0,RM
36,Lo Barnechea,-33.3497222222222,-70.5405555555556,Santa Blanca,42.4,RM
37,Lo Barnechea,-33.332691,-70.524816,Panorámica,37.0,RM
38,Lo Barnechea,-33.359998,-70.476821,Las tres hermanas,36.0,RM
39,Lo Barnechea,-33.365434,-70.498209,CasaIsidora,35.0,RM
40,Lo Barnechea,-33.31861,-70.233055,trespuntas,34.2,RM
41,Lo Barnechea,-33.363563,-70.496013,San Enrique,34.0,RM
42,Lo Barnechea,-33.3297222,-70.5038889,JPMG,32.5,RM
43,Lo Barnechea,-33.330085,-70.521384,ADRI,32.0,RM
44,Lo Espejo,-33.514491,-70.694431,Loespuno,31.0,RM
45,Macul,-33.481192,-70.596257,patioeric,26.0,RM
46,Maipu,-33.512062,-70.769442,Maipu_Templo,37.0,RM
47,Maipu,-33.5047663,-70.754341,Munich,37.0,RM
48,Maipú ,-33.491105,-70.7749,Huenteno,24.5,RM
49,Melipilla,-33.5761125,-71.0873969,AgricHarrison,22.0,RM
50,Ñuñoa,-33.4624675,-70.6271803,Tomás,34.0,RM
51,ñuñoa,-33.449216,-70.606639,sucre- PdV,31.0,RM
52,Ñuñoa,-33.450585,-70.591376,Brownpoint,25.0,RM
53,Ñuñoa,-33.4609,-70.594277,Johow,20.0,RM
54,Olmue,-32.99055555555556,-71.18027777777779,Colibrí,48.0,RM
55,Paine,-33.820417,-70.741041,Probeta,32.0,RM
56,Paine,-33.820713,-70.761706,Japón,20.0,RM
57,Pedro Aguirre Cerda,-33.4874038,-70.6606549,Panchito's house,29.0,RM
58,Peñalolén,-33.4733008,-70.5329882,CasaAnto,30.0,RM
59,Pirque,-33.6493055555556,-70.6056388888889,IsaPir,27.0,RM
60,Polpaico,-30.1512806,-70.8892361,La Plazuela,32.5,RM
