,Comuna,Latitud,Longitud,Alias,Precipitacion,Grupo
0,Buin,-33.7427629,-70.748651,Buin Centro,7.0,RM
1,Calera de Tango,-33.64388888888889,-70.83833333333332,Condominio SCdL,9.0,RM
2,Calera de Tango,-33.63026,-70.75037,Almendros,8.0,RM
3,Colina,-33.235,-70.673333,Chicureo,0.5,RM
4,Conchalí,-33.38773,-70.65886,Conchalí 1,0.7,RM
5,Curacaví,-33.374,-71.1806,El Mauco La Yaca,8.0,RM
6,El Bosque,-33.5714,-70.6605,Reyes 4to G,3.4,RM
7,Isla de Maipo,-33.704432,-70.89853,Granortu,16.0,RM
8,La Cisterna,-33.527854,-70.669636,Nueva España,1.0,RM
9,La Cruz,-32.8508333,-71.223333,Campanario La Cruz,7.0,V-R
10,La Florida,-33.51899,-70.52299,Alto Macul,5.0,RM
11,La Florida,-33.53493,-70.57879,Costa Rica,4.0,RM
12,La Florida,-33.5387504,-70.58643,MDM,3.8,RM
13,La Florida,-33.566723,-70.592142,Guacolda,3.5,RM
14,La florida,-33.5202,-70.5665,Colegio Santa Irene,2.2,RM
15,La Florida,-33.529856,-70.587167,El Limón,0.5,RM
16,La Reina,-33.459283,-70.56545,FG6189,5.5,RM
17,La Reina,-33.45751,-70.56021,Yeye,2.5,RM
18,La Reina,-33.434636,-70.522047,Petricor,2.0,RM
19,La Reina,-33.4479073,-70.5454391,Zapiola,2.0,RM
20,La Reina,-33.435005,-70.529998,HelsbyMate,1.5,RM
21,La Reina,-33.44535,-70.54923,PBurchard,1.5,RM
22,La Reina,-33.43648,-70.54493,asilvam,1.2,RM
23,La Reina,-33.432775,-70.51780555555555,Parque Aguas de Ramón,1.0,RM
24,Las Condes,-33.426634,-70.587151,Teruel,2.5,RM
25,Las Condes,-33.40635,-70.51399,FECHITA,2.5,RM
26,Las Condes,-33.379558,-70.519431,Huerta_JLG,1.5,RM
27,Las Condes,-33.405679,-70.55212,pluv_lcbv,1.5,RM
28,Las Condes,-33.423889,-70.557545,Dreal,0.0,RM
29,Lo Barnechea,-33.31861,-70.233055,trespuntas,2.5,RM
30,Lo Barnechea,-33.3297222,-70.5038889,JPMG,2.3,RM
31,Lo Barnechea,-33.330798,-70.5139946,LoBarnechea17,2.0,RM
32,Lo Barnechea,-33.3497222222222,-70.5405555555556,Santa Blanca,0.3,RM
33,Lo Espejo,-33.51708,-70.6801,ClaraEstrella,1.0,RM
34,Macul,33.4875,70.5981,GFA,1.1,RM
35,Maipu,-33.512062,-70.769442,Maipu_Templo,4.5,RM
36,Maipú,-33.52718,-70.77573,Pepe Carter,6.0,RM
37,Melipilla,-33.5761125,-71.0873969,AgricHarrison,17.5,RM
38,Ñuñoa,-33.4503,-70.5821,Gorostiaga,5.0,RM
39,Ñuñoa,-33.445999,-70.588186,Pedro_Torres,4.0,RM
40,Ñuñoa,-33.445253,-70.585837,Parque Pucará,3.3,RM
41,Ñuñoa,-33.4399552,-70.5770178,TOMACHO,3.0,RM
42,Ñuñoa,-33.4609,-70.594277,Johow,2.0,RM
43,Ñuñoa,-33.4624675,-70.6271803,Tomás,2.0,RM
44,Ñuñoa,-33.456043,-70.598147,Morgana,1.8,RM
45,Olmue,-32.99055555555556,-71.18027777777779,Colibrí,10.0,V-R
46,Padre Hurtado,-33.562211,-70.885686,Aromito,6.0,RM
47,Padre Hurtado,-33.571829,-70.826461,fcoelectro,4.5,RM
48,Pedro Aguirre Cerda,-33.4917,-70.675,Abranquil,1.0,RM
49,Peñaflor,-33.6044444,-70.8980556,BATA,13.0,RM
50,Peñafor,-33.6301566,-70.8862869,Berlín,15.0,RM
51,Peñalolén,-33.5005704,-70.535267,Pirquera,4.0,RM
52,Peñalolén,-33.4893921,-70.541795,Puyehue,4.0,RM
53,Peñalolén,-33.487568,-70.574487,Ciudadana,3.0,V - R
54,Peñalolén,-33.464228,-70.510042,Parque Cantalao,1.5,RM
55,Pirque,-33.62933,-70.54722,El Huingán,8.0,RM
56,Pirque,-33.626029,-70.536201,ApoloPirque,7.0,RM
57,Pirque,-33.6493055555556,-70.6056388888889,IsaPir,4.0,RM
58,Providencia,-33.43493,-70.609567,Estanques,4.0,RM
59,Providencia,-33.43551,-70.586153,El Belloto,3.0,RM
60,Providencia,-33.436461,-70.620565,Ministro,2.0,RM
61,Pudahuel,-33.457778,-70.756944,Auquinco,7.0,RM
62,Pudahuel,-33.454455,-70.85234,MIGIOMI,2.2,RM
63,Puente Alto,-33.601355,-70.515257,Vizcachas,6.2,RM
64,Puente Alto,-33.60863,-70.53107,Cordillera,5.0,RM
65,Puente Alto,-33.57219,-70.5778,Nemesio Vicuña,4.2,RM
66,Puente Alto,-33.5821241,-70.5858865,CasaPabla,4.0,RM
67,Puente Alto,-33.59039,-70.5734443,César3,3.0,RM
68,Puente Alto,-33.56369,-70.57959,Scarleth,3.0,RM
