,Comuna,Latitud,Longitud,Alias,Precipitacion,Grupo
0,Buin,-33.7427629,-70.748651,Buin Centro,60.0,RM
1,Calera de Tango,-33.63026,-70.75037,Almendros,55.0,RM
2,Calera de Tango,-33.64388888888889,-70.83833333333332,Condominio SCdL,50.0,RM
3,Cerrillos,-33.5071009,-70.708747,Rocío,45.0,RM
4,Cerro Navia,-33.41946,-70.72695,Nanocerro,46.0,RM
5,Colina,-33.260994,-70.644855,Ñipa,47.0,RM
6,Colina,-33.307339,-70.660102,Chamisero,40.5,RM
7,Colina,-33.235,-70.673333,Chicureo,38.5,RM
8,Conchalí,-33.38773,-70.65886,Conchalí 1,49.0,RM
9,El Monte,-33.68048,-70.998302,Coipocho,62.0,RM
10,Huechuraba,-33.347483,-70.663776,Los Guindos,58.0,RM
11,Huechuraba,-33.3799,-70.62178,El Barrero,50.5,RM
12,Isla de Maipo,-33.704432,-70.89853,Granortu,48.5,RM
13,La Cisterna,-33.5279343,-70.6488591,ElectroAdo,50.0,RM
14,La Cisterna ,-33.52158,-70.6577,Liceo RBL,50.0,RM
15,La Cisterna ,-33.52583,-70.667812,San Simón,39.0,RM
16,La Cisterna ,-33.52759,-70.67842,Zcs,30.0,RM
17,La Florida,-33.521069,-70.527356,Vista_cordillera,65.0,RM
18,La Florida,-33.53132,-70.56046,Bougainvillea,59.0,RM
19,La Florida,-33.566723,-70.592142,Guacolda,58.0,RM
20,La Florida,-33.5387504,-70.58643,MDM,55.5,RM
21,La Florida,-33.52336,-70.56212,Miravalle,55.0,RM
22,La Florida,-33.53493,-70.57879,Costa Rica,53.0,RM
23,La Florida,-33.529856,-70.587167,El Limón,53.0,RM
24,La Florida,-33.53039167,-70.56961667,Casa_Sary,47.0,RM
25,La Florida ,-33.5260817,-70.5245883,Lo Cañas,59.5,RM
26,La Granja,-33.53215,-70.61203,Casa Exequiel,49.0,RM
27,La Reina,-33.434636,-70.522047,Petricor,62.0,RM
28,La Reina,-33.459283,-70.56545,FG6189,60.5,RM
29,La Reina,-33.45683,-70.52308,Luciernaga,60.0,RM
30,La Reina,-33.43648,-70.54493,asilvam,57.4,RM
31,La Reina,-33.445699,-70.553097,OpaHouse,55.0,RM
32,La Reina,-33.44535,-70.54923,PBurchard,55.0,RM
33,La Reina,-33.4325123,-70.5797009,thequeen,52.0,RM
34,La Reina,-33.435005,-70.529998,HelsbyMate,50.0,RM
35,La Reina,-33.45492,-70.56167,Milna,33.0,RM
36,Lampa,-33.255169,-70.881025,Lampa_Rural,45.0,RM
37,Lampa,-33.25,-70.8947,Malena,36.5,RM
38,Las Condes,-33.37354,-70.5041,La Posada MK,65.0,RM
39,Las Condes,-33.41069,-70.51004,Marley,59.0,RM
40,Las Condes,-33.407573,-70.540641,Dominicos,59.0,RM
41,Las Condes,-33.40635,-70.51399,FECHITA,58.5,RM
42,Las Condes,-33.379558,-70.519431,Huerta_JLG,55.0,RM
43,Las Condes,-33.423889,-70.557545,Dreal,54.0,RM
44,Las Condes,-33.426634,-70.587151,Teruel,50.0,RM
45,Las Condes,-33.42053,-70.5582,Salvador,50.0,RM
46,Las Condes,-33.41812,-70.5747,MPM-1,42.0,RM
47,Las Pintana,-33.558016,-70.615033,Andy e Iván,56.0,RM
48,Lo Barnechea,-33.356717,-70.479844,Arrayán - Estero,70.0,RM
49,Lo Barnechea,-33.342583,-70.47025,POMcI,65.0,RM
50,Lo Barnechea,-33.347133,-70.482523,Arrayán,64.0,RM
51,Lo Barnechea,-33.3497222222222,-70.5405555555556,Santa Blanca,62.1,RM
52,Lo Barnechea,-33.332691,-70.524816,Panorámica,55.0,RM
53,Lo Espejo,-33.514491,-70.694431,Loespuno,50.0,RM
54,Lo Espejo,-33.51708,-70.6801,ClaraEstrella,44.0,RM
55,Maipu,-33.48422,-70.76013,Isi,41.0,RM
56,Maipú,-33.498029,-70.741741,Tagua,41.0,RM
57,Maipú,-33.52718,-70.77573,Pepe Carter,35.0,RM
58,Maipú,-33.50571,-70.74064,Lechuza,35.0,RM
59,Maipú,-33.53931,-70.77602,Pingüino,25.0,RM
60,ñuñoa,-33.449216,-70.606639,sucre- PdV,55.0,RM
61,Ñuñoa,-33.4624675,-70.6271803,Tomás,55.0,RM
62,Ñuñoa,-33.4399552,-70.5770178,TOMACHO,53.0,RM
63,Ñuñoa,-33.4609,-70.594277,Johow,52.0,RM
64,Ñuñoa,-33.445999,-70.588186,Pedro_Torres,52.0,RM
65,Ñuñoa,-33.45006,-70.57776,AzoteaPascualBaburizza,50.5,RM
66,Ñuñoa,-33.450585,-70.591376,Brownpoint,44.5,RM
67,Olmue,-32.99055555555556,-71.18027777777779,Colibrí,103.0,RM
68,Padre Hurtado,-33.562211,-70.885686,Aromito,51.0,RM
69,Padre Hurtado,-33.571829,-70.826461,fcoelectro,49.0,RM
70,Paico,-33.655,-71.0408,El Paico,67.0,RM
71,Pedro Aguirre Cerda,-33.4874038,-70.6606549,Panchito's house,50.0,RM
72,Pedro Aguirre Cerda,-33.4917,-70.675,Abranquil,49.0,RM
73,Pedro Aguirre Cerda,-33.4987152,-70.6896665,Puente de patohi,20.0,RM
74,Peñaflor,-33.6044444,-70.8980556,BATA,38.0,RM
75,Peñalolén,-33.464228,-70.510042,Parque Cantalao,66.0,RM
76,Peñalolén,-33.504061,-70.529608,Jorge,63.0,RM
77,Peñalolén,-33.4784758,-70.5516726,peñamex,55.0,RM
78,Peñalolén,-33.50167,-70.586438,Terra-Aqua,53.0,RM
79,Peñalolén,-33.4893921,-70.541795,Puyehue,53.0,RM
80,Peñalolén,-33.4733008,-70.5329882,CasaAnto,52.0,RM
81,Peñalolén,-33.487568,-70.574487,Ciudadana,50.0,RM
82,Pirque,-33.6493055555556,-70.6056388888889,IsaPir,65.0,RM
83,Providencia,-33.43551,-70.586153,El Belloto,52.0,RM
84,Providencia,-33.436461,-70.620565,Ministro,50.5,RM
85,Pudahuel,-33.457778,-70.756944,Auquinco,41.0,RM
86,Pudahuel,-33.466772,-70.86392,Izarra de lo Aguirre,38.0,RM
87,Pudahuel,-33.454455,-70.85234,MIGIOMI,37.5,RM
88,Pudahuel,-33.463888,-70.84333,AnGar,34.0,RM
89,Pudahuel,-33.4542521,-70.748249,Scandium,33.0,RM
90,Puente Alto,-33.601355,-70.515257,Vizcachas,76.0,RM
91,Puente Alto,-33.60863,-70.53107,Cordillera,65.0,RM
92,Puente Alto,-33.5821241,-70.5858865,CasaPabla,59.0,RM
93,Puente Alto,-33.59039,-70.5734443,César3,58.0,RM
94,Puente Alto,-33.57219,-70.5778,Nemesio Vicuña,54.0,RM
95,Quilicura,-33.35935,-70.72336,mawün,44.5,RM
96,Quilicura,-33.3498598,-70.73458217,Lásaro,37.0,RM
97,Renca,-33.40343,-70.70815,Djoko,40.0,RM
98,San Bernardo,-33.612675,-70.72276,Hueñimalal,62.0,RM
99,San Bernardo,-33.592121,-70.707756,Saitama,49.0,RM
100,San José de Maipo,-33.5783328,-70.451299,El Canelo,93.0,RM
101,San José de Maipo,-33.578198,-70.405527,Alicura,82.0,RM
102,San José de Maipo,-33.762359,-70.279106,El Ingenio,74.4,RM
103,San José de Maipo,-33.634484,-70.35255,San José,66.0,RM
104,San Miguel,-33.51119,-70.66195,Fajardo,50.3,RM
105,San Miguel,-33.4973,-70.6554,La Marina,44.0,RM
