,Comuna,Latitud,Longitud,Alias,Precipitacion,Grupo
0,Rapanui 1,-27.14314,-109.40183,Angostura,30,RM
1,Rapanui 2,-27.1384,-109.4161,Nanocerro,33,RM
2,Rapanui 3,-27.1538,-109.41922,Ñipa,36,RM
3,Rapanui 4,-27.14354,-109.42697,Piedraroja,39,RM
4,Rapanui 5,-27.143834,-109.420378,Chicureo,42,RM
5,Rapanui 6,-27.3606,-109.415823,Chamisero,45,RM
6,Rapanui 7,-27.148784,-109.431912,Conchalí 1,48,RM
7,Rapanui 8,-27.152655,-109.422356,Chancaleo,51,RM
8,Rapanui 9,-27.161181,-109.423619,SevenAlan,54,RM
9,Rapanui 10,-27.160545,-109.439988,Los Guindos,57,RM
10,Rapanui 11,-27.165097,-109.43995,Granortu,60,RM
11,Rapanui 12,-27.178184,-109.430432,Nueva España,63,RM
12,Rapanui 13,-27.18639,-109.443306,Arimikachi,66,RM
13,Rapanui 14,-27.201404,-109.453195,Liceo RBL,69,RM
14,Rapanui 15,-27.195575,-109.422152,San Simón,72,RM
15,,-33.524444,-71.545555,Casa Marín (AG 285),75,EMA
