,Comuna,Latitud,Longitud,Alias,Precipitacion,Grupo
0,Buin,-33.7427629,-70.748651,Buin Centro,31.0,RM
1,Calera de Tango,-33.63026,-70.75037,Almendros,22.0,RM
2,Cerrillos,-33.5071009,-70.708747,Rocío,13.0,RM
3,Cerro Navia,-33.41946,-70.72695,Nanocerro,13.0,RM
4,Colina,-33.307339,-70.660102,Chamisero,9.9,RM
5,Colina,-33.235,-70.673333,Chicureo,6.0,RM
6,Conchalí,-33.375257,-70.680028,Colón,14.0,RM
7,Conchalí,-33.38773,-70.65886,Conchalí 1,12.0,RM
8,Curacaví,-33.374,-71.1806,El Mauco La Yaca,38.0,RM
9,Huechuraba,-33.347483,-70.663776,Los Guindos,12.0,RM
10,Isla de Maipo,-33.704432,-70.89853,Granortu,9.6,RM
11,La Cisterna,-33.527854,-70.669636,Nueva España,15.0,RM
12,La Cisterna ,-33.52583,-70.667812,San Simón,10.0,RM
13,La Cruz,-32.8508333,-71.223333,Campanario La Cruz,32.0,V-R
14,La Florida,-33.51899,-70.52299,Alto Macul,17.0,RM
15,La Florida,-33.5387504,-70.58643,MDM,14.2,RM
16,La Florida,-33.53493,-70.57879,Costa Rica,14.0,RM
17,La florida,-33.5202,-70.5665,Colegio Santa Irene,11.0,RM
18,La Florida ,-33.5260817,-70.5245883,Lo Cañas,20.0,RM
19,La Reina,-33.4479073,-70.5454391,Zapiola,14.5,RM
20,La Reina,-33.434636,-70.522047,Petricor,14.0,RM
21,La Reina,-33.432775,-70.51780555555555,Parque Aguas de Ramón,13.8,RM
22,La Reina,-33.459283,-70.56545,FG6189,13.5,RM
23,La Reina,-33.43648,-70.54493,asilvam,11.5,RM
24,La Reina,-33.44535,-70.54923,PBurchard,11.5,RM
25,La Reina,-33.45751,-70.56021,Yeye,11.0,RM
26,La Reina,-33.435005,-70.529998,HelsbyMate,10.0,RM
27,Lampa,-33.32,-70.75,Valle Grande,9.5,RM
28,Las Condes,-33.41068,-70.51288,Boldo,19.0,RM
29,Las Condes,-33.41069,-70.51004,Marley,14.0,RM
30,Las Condes,-33.426634,-70.587151,Teruel,13.0,RM
31,Las Condes,-33.37354,-70.5041,La Posada MK,12.5,RM
32,Las Condes,-33.379558,-70.519431,Huerta_JLG,10.5,RM
33,Las Condes,-33.40635,-70.51399,FECHITA,10.0,RM
34,Las Condes,-33.405679,-70.55212,pluv_lcbv,10.0,RM
35,Las Condes,-33.41812,-70.5747,MPM-1,9.5,RM
36,Las Condes,-33.423889,-70.557545,Dreal,8.0,RM
37,Las Condes,-33.42053,-70.5582,Salvador,3.0,RM
38,Lo Barnechea,-33.31861,-70.233055,trespuntas,147.0,RM
39,Lo Barnechea,-33.363563,-70.496013,San Enrique,16.5,RM
40,Lo Barnechea,-33.342583,-70.47025,POMcI,15.0,RM
41,Lo Barnechea,-33.3297222,-70.5038889,JPMG,14.1,RM
42,Lo Barnechea,-33.346539,-70.527303,Lilo,13.2,RM
