,Comuna,Latitud,Longitud,Alias,Precipitacion,Grupo
0,Calera de Tango,-33.63026,-70.75037,Almendros,10.0,RM
1,Calera de tango,-33.6161675,-70.8020156,La Virgen,9.0,RM
2,Calera de Tango,-33.64388888888889,-70.83833333333332,Condominio SCdL,8.0,RM
3,Caleu,-33.0447222222222,-70.9913889,patorod,25.0,RM
4,Cerrillos,-33.5071009,-70.708747,Rocío,9.0,RM
5,Cerro Navia,-33.424337,-70.724038,Cerro Navia,7.0,RM
6,Colina,-33.260994,-70.644855,Ñipa,11.0,RM
7,Colina,-33.2539999,-70.6294618,Piedraroja,8.0,RM
8,Isla de Maipo,-33.74849,-70.86864,Uva,12.0,RM
9,La Florida,-33.53039167,-70.56961667,Casa_Sary,8.0,RM
10,La Florida,-33.5387504,-70.58643,MDM,6.9,RM
11,La Florida,-33.52336,-70.56212,Miravalle,5.0,RM
12,La Florida,-33.566723,-70.592142,Guacolda,5.0,RM
13,La Reina,-33.43648,-70.54493,asilvam,7.1,RM
14,La Reina,-33.44599,-70.54248,Azim,7.0,RM
15,La Reina,-33.452259,-70.554147,San Benito,7.0,RM
16,La Reina,-33.435005,-70.529998,HelsbyMate,5.0,RM
17,Lampa,-33.2843725,-70.8736396,Celeste,10.0,RM
18,Las Condes,-33.412407,-70.590422,Alsacia181,11.0,RM
19,Las Condes,-33.40002,-70.54015,pie Cerro Calán,8.5,RM
20,Las Condes,-33.41354,-70.58728,MPM,7.0,RM
21,Las Condes,-33.422148,-70.557498,Azúcar,6.0,RM
22,Las Condes,-33.423889,-70.557545,Dreal,4.0,RM
23,Lo Barnechea,-33.347483,-70.663776,Los Guindos,11.0,RM
24,Lo Barnechea,-33.363563,-70.496013,San Enrique,11.0,RM
25,Lo Barnechea,-33.3497222222222,-70.5405555555556,LAR,10.7,RM
26,Lo Barnechea,-33.3297222,-70.5038889,JPMG,10.0,RM
27,Lo Barnechea,-33.342583,-70.47025,POMcI,10.0,RM
28,Lo Barnechea,-33.330085,-70.521384,Adri,10.0,RM
29,Lo Barnechea,-33.359998,-70.476821,Las tres hermanas,8.0,RM
30,Lo Barnechea,-33.356717,-70.479844,Arrayán,6.6,RM
31,Lo Espejo,-33.51708,-70.6801,ClaraEstrella,9.5,RM
32,Lo Espejo,-33.514491,-70.694431,Loespuno,9.0,RM
33,Maipu,-33.562645,-70.777641,C. Satelite,10.0,RM
34,Maipu,-33.512062,-70.769442,Maipu_Templo,9.5,RM
35,Melipilla,-33.5761125,-71.0873969,AgricHarrison,9.0,RM
36,Ñuñoa,-33.456043,-70.598147,Morgana,8.0,RM
37,Ñuñoa,-33.4609,-70.594277,Johow,5.5,RM
38,Pedro Aguirre Cerda,-33.50332,-70.66823,Zona Sur RM,9.0,RM
39,Pedro Aguirre Cerda,-33.4866206,-70.6690528,KirefPAC,3.0,RM
40,Peñaflor,-33.5951716,-70.8549146,FernandoM1,9.6,RM
41,Peñalolen,-33.489767,-70.57516,Patio con pasto,11.0,RM
42,Peñalolén,-33.50167,-70.586438,Terra-Aqua,6.0,RM
43,Pirque,-33.6493055555556,-70.6056388888889,IsaPir,10.0,RM
44,Providencia,-33.442542,-70.615579,Hortensias,11.0,RM
45,Providencia,-33.4401249,-70.600959,Tranquila,6.0,RM
46,Pudahuel,-33.457778,-70.756944,Auquinco,6.0,RM
47,Pudahuel,-33.466772,-70.86392,Ciudad de los Valles,5.0,RM
48,Pudahuel,-33.46175,-70.842074,chispa,4.0,RM
49,Pudahuel-,-33.463888,-70.84333,AndGar,4.5,RM
50,Puente Alto,-33.60863,-70.53107,El Páramo,11.0,RM
51,Puente Alto,-33.60863,-70.53107,Cordillera,10.0,RM
52,puente alto,-33.58396,-70.55175,Peral,9.0,RM
53,Puente Alto,-33.557769,-70.5533,Opendoor,9.0,RM
54,Puente Alto,-33.59039,-70.5734443,César3,8.0,RM
55,Puente Alto,-33.5629432,-70.546021,Trébol,8.0,RM
56,Puente Alto,-33.576725,-70.56600833333333,Puente1,8.0,RM
57,Puente alto,-33.5917815,-70.5778761,Casa alvin,8.0,RM
58,Puente Alto,-33.5821241,-70.5858865,CasaPabla,7.0,RM
59,Quilicura,-33.3595,-70.73047,Huentenao,6.0,RM
60,Quinta Normal,-33.43512,-70.69548,Marina,6.5,RM
61,San Bernardo,-33.612675,-70.72276,Hueñimalal,14.0,RM
62,San Bernardo,-33.61697,-70.687,LaSelva,10.0,RM
63,San Miguel,-33.4973,-70.6554,La Marina,6.0,RM
64,San Miguel,-33.493608,-70.651679,smiguel13,6.0,RM
65,Santiago,-33.456944444444446,-70.66166666666668,DGF,5.7,RM
66,Santiago,-33.448245,-70.644013,San Isidro E,4.0,RM
67,Santiago Centro,-33.443306,-70.6773,Chuca,6.0,RM
68,Vitacura,-33.395182,-70.588737,Vitacumbia,12.0,RM
69,Vitacura,-33.383186,-70.579557,Borderío,11.1,RM
70,Vitacura,-33.38146,-70.55663,Auri-001,10.0,RM
71,Vitacura,-33.38783,-70.553479,Escultor,8.0,RM
72,S José de Maipo,-33.495277,-70.137221,Río Olivares a/j río Colorado,44.8,EMA
73,San Pedro,-33.898055,-71.452777,San Pedro de Melipilla (INIA),28.3,EMA
74,S José de Maipo,-33.597499,-70.379443,Río Maipo en el Manzano,23.2,EMA
75,San J. de Maipo,-33.636388,-70.356944,San José Retén,22.2,EMA
76,,-34.0225,-71.344167,Ventisquero,21.8,EMA
77,,-33.890833,-71.23611,Los Guindos,21.2,EMA
78,San José de Maipo,-33.615277,-70.350555,San José de Guayacán,20.0,EMA
79,,-33.8111,-70.8836,Río Angpstura en Valdivia de Paine,16.9,EMA
80,Talagante,-33.670277,-70.849444,Talagante,15.4,EMA
81,,-33.725439,-71.042558,San Antonio de Naltagua,14.8,EMA
82,Alhue,-34.029166,-70.994999,El Asiento (INIA),14.7,EMA
83,El Monte,-33.706388,-71.008055,El Paico,14.4,EMA
84,,-33.718611,-70.66917,Santa Rita,14.2,EMA
85,,-33.69194,-71.100833,El Monte,13.5,EMA
86,,-33.7638888,-70.886667,Isla de Maipo,13.4,EMA
