,Comuna,Latitud,Longitud,Alias,Precipitacion,Grupo
0,Buin,-33.733116,-70.714982,Mechero,28.0,RM
1,Buin,-33.7427629,-70.748651,Buin Centro,26.0,RM
2,Buin,-33.747465,-70.735897,Linderos,23.0,RM
3,Buin,-33.7360603,-70.7140394,Petri,23.0,RM
4,Buin,-33.74131,-70.679466,Azul m.,21.0,RM
5,Calera de Tango,-33.63026,-70.75037,Almendros,30.0,RM
6,Calera de Tango,-33.64388888888889,-70.83833333333332,Condominio SCdL,28.5,RM
7,Calera de Tango,-33.610437,-70.770246,Tanguito,21.0,RM
8,Cerrillos,-33.5071009,-70.708747,Rocío,29.0,RM
9,Cerro Navia,-33.417376,-70.75786,Harry,18.3,RM
10,Colina,-33.2539999,-70.6294618,Piedraroja,28.0,RM
11,Colina,-33.307339,-70.660102,Chamisero,24.0,RM
12,Conchalí,-33.3900114,-70.681807378,SOL,29.0,RM
13,Curacaví,-33.393795,-71.03482,Tenca - WS2K,42.2,RM
14,El Bosque,-33.572039,-70.69446,Alambres_de_ocaso,21.4,RM
15,Estación Central,-33.4584952,-70.6983327,Gatos,28.0,RM
16,Huechuraba,-33.3799,-70.62178,El Barrero,50.0,RM
17,Huechuraba,-33.347483,-70.663776,Los Guindos,35.0,RM
18,Independencia,-33.401477,-70.659081,mochila,33.0,RM
19,La Cisterna,-33.527854,-70.669636,Nueva España,26.0,RM
20,La Florida,-33.53039167,-70.56961667,Casa_Sary,51.5,RM
21,La Florida,-33.52336,-70.56212,Miravalle,49.5,RM
22,La Florida,-33.5387504,-70.58643,MDM,43.8,RM
23,La Florida,-33.566723,-70.592142,Guacolda,41.0,RM
24,La Florida ,-33.5260817,-70.5245883,Lo Cañas,58.0,RM
25,La Pintana,-33.5754465,-70.6498304,Ronny,27.0,RM
26,La Reina,-33.43648,-70.54493,asilvam,56.9,RM
27,La Reina,-33.445699,-70.553097,OpaHouse,55.0,RM
28,La Reina,-33.435005,-70.529998,HelsbyMate,52.0,RM
29,La Reina,-33.452259,-70.554147,San Benito,50.0,RM
30,La Reina,-33.444734,-70.537295,sbolivar,48.0,RM
31,La Reina,-33.4325123,-70.5797009,thequeen,41.0,RM
32,Las Condes,-33.405679,-70.55212,pluv_lcbv,64.0,RM
33,Las Condes,-33.41354,-70.58728,MPM,63.0,RM
34,Las Condes,-33.423889,-70.557545,Dreal,60.0,RM
35,Las Condes,-33.425362,-70.5760264,CASASOPA,56.0,RM
36,Las Condes,-33.426634,-70.587151,Teruel,54.0,RM
37,Las Condes,-33.40635,-70.51399,FECHITA,53.0,RM
38,Las Condes,-33.4249222,-70.5821583,Cristobaldlm,53.0,RM
39,Las Condes,-33.39629,-70.53704,Calán - DGF,50.0,RM
40,Las Condes,-33.40002,-70.54015,pie cerro Calán,49.0,RM
41,Lo Barnechea,-33.332691,-70.524816,Panorámica,58.0,RM
42,Lo Barnechea,-33.3497222222222,-70.5405555555556,LAR,56.1,RM
43,Lo Barnechea,-33.356717,-70.479844,Arrayán,50.0,RM
44,Lo Barnechea,-33.359998,-70.476821,Las tres hermanas,44.0,RM
45,Lo Barnechea,-33.363563,-70.496013,San Enrique,44.0,RM
46,Lo Barnechea,-33.330085,-70.521384,ADRI,40.0,RM
47,Lo Barnechea,-33.365434,-70.498209,CasaIsidora,40.0,RM
48,Lo Barnechea,-33.3297222,-70.5038889,JPMG,39.0,RM
49,Lo Barnechea,-33.342583,-70.47025,POMcI,38.0,RM
50,Lo Espejo,-33.514491,-70.694431,Loespuno,32.0,RM
51,Macul,-33.5001643,-70.6044896,Monumental,42.6,RM
52,Maipu,-33.512062,-70.769442,Maipu_Templo,22.0,RM
53,Maipu,-33.55672433,-70.7812371,AMC,21.0,RM
54,Maipu,-33.514972,-70.786711,Anis,17.5,RM
55,Maipu,-33.504287,-70.783822,Tachuris,17.0,RM
56,Melipilla,-33.5761125,-71.0873969,AgricHarrison,30.5,RM
57,Ñuñoa,-33.4609,-70.594277,Johow,52.0,RM
58,Ñuñoa,-33.47502,-70.59945,Morgana,46.0,RM
59,Ñuñoa,-33.458077,-70.611905,camipg,45.0,RM
60,Olmue,-33.0523818,-71.1135032,Caroqba,40.0,RM
61,Olmue,-32.99055555555556,-71.18027777777779,Colibrí,35.0,RM
62,Paico,-33.655,-71.0408,El Paico,35.0,RM
63,Paine,-33.865012,-70.624326,Mortero,35.0,RM
64,Paine,-33.820417,-70.741041,Probeta,25.0,RM
65,Paine,-33.8640897,-70.6385446,Matraz,25.0,RM
66,Paine,-33.82136,-70.64788,cubreobjetos,23.0,RM
67,Paine,-33.825849,-70.646401,Guantes,23.0,RM
68,Paine,-33.8339166666667,-70.6473333333333,Tubo de ensayo,22.0,RM
69,Pedro Aguirre Cerda,-33.4917,-70.675,Abranquil,32.0,RM
70,Peñaflor,-33.6044444,-70.8980556,BATA,24.0,RM
71,Peñalolén,-33.50167,-70.586438,Terra-Aqua,52.0,RM
72,Peñalolén,-33.5005704,-70.535267,Pirquera,50.0,RM
73,Peñalolén,-33.4784758,-70.5516726,peñamex,47.0,RM
74,Peñalolén,-33.4733008,-70.5329882,CasaAnto,45.0,RM
75,Peñalolén,-33.49691,-70.5536582,casita,42.0,RM
76,Pirque,-33.713856,-70.5461253,Malena,43.0,RM
77,Pirque,-33.6294445,-70.5776333,Riomaipo,37.0,RM
78,Pirque,-33.6493055555556,-70.6056388888889,IsaPir,27.0,RM
79,Providencia,-33.436461,-70.620565,Ministro,42.0,RM
80,Providencia,-33.4401249,-70.600959,Tranqui,38.0,RM
81,Pudahuel,-33.460694,-70.741472,tejasa,28.0,RM
82,Pudahuel,-33.457778,-70.756944,Auquinco,21.0,RM
83,Pudahuel,-33.463888,-70.84333,AnGar,17.0,RM
84,Pudahuel,-33.466772,-70.86392,Ciudad de los Valles,13.2,RM
85,Puente Alto,-33.582919,-70.514592,Viscachas,85.0,RM
86,Puente Alto,-33.593454,-70.516269,Parcela,80.0,RM
87,Puente Alto,-33.588537,-70.559082,Chucao,53.0,RM
88,Puente Alto,-33.60863,-70.53107,El Páramo,49.0,RM
89,Puente Alto,-33.60863,-70.53107,Cordillera,48.0,RM
90,Puente Alto,-33.5556806,-70.5525458,POLCRIB,44.5,RM
91,Puente Alto,-33.576725,-70.56600833333333,Puente1,43.0,RM
92,Puente Alto,-33.59039,-70.5734443,César3,41.0,RM
93,Puente Alto,-33.5821241,-70.5858865,CasaPabla,40.0,RM
94,Quilicura,-33.354362,-70.731295,DelTrigal,28.0,RM
95,Quilicura,-33.3595,-70.73047,Huentenao,23.0,RM
96,Quinta Normal,-33.4128931,-70.7105162,Casa,31.0,RM
97,San Bernardo,-33.61697,-70.687,LaSelva,24.0,RM
98,San Bernardo,-33.612675,-70.72276,Hueñimalal,23.0,RM
99,San José de Maipo,-33.586952,-70.466303,Las Vertientes,132.3,RM
100,San José de Maipo,-33.5783328,-70.451299,El Canelo,120.0,RM
101,San José de Maipo,-33.589586,-70.4726842,Vertiente,115.0,RM
102,San José de Maipo,-33.594661,-70.379611,manzano,46.0,RM
103,San Miguel,-33.4973,-70.6554,La Marina,34.0,RM
