,Comuna,Latitud,Longitud,Alias,Precipitacion,Grupo
0,Calera de Tango,-33.63026,-70.75037,Almendros,27.0,RM
1,Cerro Navia,-33.41946,-70.72695,Nanocerro,27.0,RM
2,Colina,-33.260994,-70.644855,Ñipa,32.0,RM
3,Colina,-33.235,-70.673333,Chicureo,28.0,RM
4,Colina,-33.2539999,-70.6294618,Piedraroja,26.0,RM
5,Conchalí,-33.38773,-70.65886,Conchalí 1,29.0,RM
6,El Monte,-33.68048,-70.998302,Coipocho,26.0,RM
7,Huechuraba,-33.347483,-70.663776,Los Guindos,33.0,RM
8,Huechuraba,-33.3799,-70.62178,El Barrero,30.3,RM
9,La Cisterna ,-33.52158,-70.6577,Liceo RBL,26.0,RM
10,La Cisterna ,-33.52759,-70.67842,Zcs,24.0,RM
11,La Cisterna ,-33.52583,-70.667812,San Simón,20.0,RM
12,La Florida,-33.5387504,-70.58643,MDM,30.5,RM
13,La Florida,-33.53493,-70.57879,Costa Rica,30.0,RM
14,La Florida,-33.521069,-70.527356,Vista_cordillera,30.0,RM
15,La Florida,-33.566723,-70.592142,Guacolda,30.0,RM
16,La Florida,-33.53132,-70.56046,Bougainvillea,30.0,RM
17,La Florida,-33.52336,-70.56212,Miravalle,29.0,RM
18,La Florida ,-33.5260817,-70.5245883,Lo Cañas,31.8,RM
19,La Granja,-33.54114,-70.62564,ElPepeCharquis,27.0,RM
20,La Reina,-33.43648,-70.54493,asilvam,38.0,RM
21,La Reina,-33.459283,-70.56545,FG6189,33.0,RM
22,La Reina,-33.445699,-70.553097,OpaHouse,31.0,RM
23,La Reina,-33.4325123,-70.5797009,thequeen,31.0,RM
24,La Reina,-33.452259,-70.554147,San Benito,29.0,RM
25,La Reina,-33.44535,-70.54923,PBurchard,29.0,RM
26,La Reina,-33.44194,-70.56306,Tadeo,29.0,RM
27,La Reina,-33.434636,-70.522047,Petricor,26.0,RM
28,Lampa,-33.25,-70.8947,Malena,20.0,RM
29,Las Condes,-33.4249222,-70.5821583,Cristobaldlm,36.0,RM
30,Las Condes,-33.37354,-70.5041,La Posada MK,35.0,RM
31,Las Condes,-33.426634,-70.587151,Teruel,34.5,RM
32,Las Condes,-33.423889,-70.557545,Dreal,34.0,RM
33,Las Condes,-33.405679,-70.55212,pluv_lcbv,32.0,RM
34,Las Condes,-33.41068,-70.51288,Boldo,30.0,RM
35,Las Condes,-33.379558,-70.519431,Huerta_JLG,29.0,RM
36,Las Condes,-33.41069,-70.51004,Marley,28.0,RM
37,Las Condes,-33.41354,-70.58728,MPM,22.0,RM
38,Lo Barnechea,-33.356717,-70.479844,Arrayán - Estero,45.0,RM
39,Lo Barnechea,-33.363563,-70.496013,San Enrique,40.0,RM
40,Lo Barnechea,-33.347133,-70.482523,Arrayán,38.0,RM
41,Lo Barnechea,-33.342583,-70.47025,POMcI,37.5,RM
42,Lo Barnechea,-33.3497222222222,-70.5405555555556,Santa Blanca,35.1,RM
43,Lo Barnechea,-33.3297222,-70.5038889,JPMG,31.8,RM
44,Lo Barnechea,-33.332691,-70.524816,Panorámica,31.0,RM
45,Lo Espejo,-33.514491,-70.694431,Loespuno,29.0,RM
46,Lo Espejo,-33.32,-70.43,SendaBlack2025,22.0,RM
47,Maipu,-33.53858,-70.91284,Charly,29.0,RM
48,Maipu,-33.512062,-70.769442,Maipu_Templo,26.5,RM
49,Maipu,-33.5047663,-70.754341,Munich,26.0,RM
50,Maipú,-33.54938,-70.73424,Gaviota,31.0,RM
51,Maipú,-33.498029,-70.741741,Tagua,27.0,RM
52,Maipú,-33.50571,-70.74064,Lechuza,25.0,RM
53,Maipú,-33.52718,-70.77573,Pepe Carter,23.0,RM
54,Maipú,-33.53931,-70.77602,Pingüino,20.0,RM
55,Ñuñoa,-33.4399552,-70.5770178,TOMACHO,32.0,RM
56,Ñuñoa,-33.4624675,-70.6271803,Tomás,31.0,RM
57,Ñuñoa,-33.456043,-70.598147,Morgana,30.0,RM
58,Ñuñoa,-33.445999,-70.588186,Pedro_Torres,30.0,RM
59,Ñuñoa,-33.450585,-70.591376,Brownpoint,26.0,RM
60,Olmue,-32.99055555555556,-71.18027777777779,Colibrí,61.0,RM
61,Padre Hurtado,-33.562211,-70.885686,Aromito,20.0,RM
62,Padre Hurtado,-33.571829,-70.826461,fcoelectro,16.0,RM
