,Comuna,Latitud,Longitud,Alias,Precipitacion,Grupo
0,Calera de Tango,-33.64388888888889,-70.83833333333332,Condominio SCdL,27.0,RM
1,Caleu,-33.0447222222222,-70.9913889,patorod,63.0,RM
2,Caleu,-33.003657,-71.015062,Caleu,43.0,RM
3,Cerrillos,-33.5071009,-70.708747,Rocío,18.0,RM
4,Cerro Navia,-33.424337,-70.724038,Cerro Navia,15.0,RM
5,Colina,-33.2539999,-70.6294618,Piedraroja,18.0,RM
6,Colina,-33.208465,-70.660189,Colina,11.0,RM
7,Colina,-33.307339,-70.660102,Chamisero,11.0,RM
8,Colina,-33.233355,-70.756984,Liray,7.0,RM
9,Conchalí,-33.37118,-70.68927,El Cortijo,14.0,RM
10,El Bosque,-33.5591666666667,-70.6777222222222,El Bosque,39.0,RM
11,El Monte,-33.7077222,-70.9851153,Vita,51.0,RM
12,Estación Central,-33.470452,-70.713757,Tetue,24.0,RM
13,Huechuraba,-33.341086,-70.665547,Tortuga,23.0,RM
14,Huechuraba,-33.359459,-70.680397,Sauce,18.0,RM
15,Isla de Maipo,-33.754,-70.896,Yubarta,40.0,RM
16,La Florida,-33.549163,-70.57665,AGM,39.0,RM
17,La Florida,-33.521336,-70.548439,LOCANAS,37.0,RM
18,La Florida,-33.53489,-70.534543,El Panul,37.0,RM
19,La Florida,-33.5387504,-70.58643,MDM,35.0,RM
20,La Florida,-33.534556,-70.550194,Fortnite,34.0,RM
21,La Florida,-33.5280415,-70.5925006,CGS,33.0,RM
22,La Florida,-33.523056,-70.561667,Miravalle,31.0,RM
23,La Florida,-33.524163,-70.566667,OliClima,30.0,RM
24,La Florida,-33.53172,-70.556389,KIKE,29.0,RM
25,La Florida,-33.548604,-70.589773,BENAME,28.0,RM
26,La Florida,-33.566926,-70.592082,Los Quillayes,25.0,RM
27,La Granja,-33.5485378284992,-70.6160126841484,Delfinafonseca,28.0,RM
28,La Pintana,-33.5750964427597,-70.654016488739,TAVO,29.0,RM
29,La Pintana,-33.579923,-70.63224,SORA,26.0,RM
30,La Reina,-33.452259,-70.554147,San Benito,29.0,RM
31,La Reina,-33.460866,-70.562577,Dragones,27.0,RM
32,La Reina,-33.440763,-70.555714,Quintrala,25.0,RM
33,Lampa,-33.2843725,-70.8736396,Celeste,12.0,RM
34,Lampa,-33.3274888,-70.842077,Freya,11.0,RM
35,Lampa,-33.3252912,-70.768662,Isi,11.0,RM
36,Lampa,-33.278073,-70.865323,Campiña,10.0,RM
37,Las Condes,-33.40635,-70.51399,FECHITA,74.0,RM
38,Las Condes,-33.379558,-70.519431,Huerta_JLG,43.0,RM
39,Las Condes,-33.43648,-70.54493,asilvam,41.9,RM
40,Las Condes,-33.4249222,-70.5821583,Cristobaldlm,37.0,RM
41,Las Condes,-33.4300093662595,-70.5609341050816,Triwe,37.0,RM
42,Las Condes,-33.42901,-70.559023,Manquehue,34.0,RM
43,Las Condes,-33.423889,-70.557545,Dreal,34.0,RM
44,Las Condes,-33.403104,-70.552105,Renacentistas,33.0,RM
45,Las Condes,-33.41354,-70.58728,MPM,26.0,RM
46,Lo Barnechea,-33.359998,-70.476821,Las tres hermanas,60.0,RM
47,Lo Barnechea,-33.356717,-70.479844,Arrayán,59.0,RM
48,Lo Barnechea,-33.330085,-70.521384,ADRI,55.0,RM
49,Lo Barnechea,-33.332691,-70.524816,Panorámica,53.0,RM
50,Lo Barnechea,-33.342583,-70.47025,POMcI,52.0,RM
51,Lo Barnechea,-33.35084,-70.51874,BRUNO,44.0,RM
52,Lo Barnechea,-33.3497222222222,-70.5405555555556,LAR,44.0,RM
53,Lo Barnechea,-33.3297222,-70.5038889,JMG,40.2,RM
54,Lo Barnechea,-33.347483,-70.663776,Los Guindos,17.0,RM
