,Comuna,Latitud,Longitud,Alias,Precipitacion,Grupo
0,Buin,-33.7427629,-70.748651,Buin Centro,17.0,RM
1,Calera de Tango,-33.63026,-70.75037,Almendros,16.0,RM
2,Calera de Tango,-33.64388888888889,-70.83833333333332,Condominio SCdL,16.0,RM
3,Cerrillos,-33.5071009,-70.708747,Rocío,10.0,RM
4,Cerro Navia,-33.41513,-70.72882,Angostura,9.0,RM
5,Colina,-33.307339,-70.660102,Chamisero,5.1,RM
6,Colina,-33.235,-70.673333,Chicureo,5.0,RM
7,Colina,-33.260994,-70.644855,Ñipa,5.0,RM
8,Conchalí,-33.38773,-70.65886,Conchalí 1,4.5,RM
9,Curacaví,-33.393795,-71.03482,Tenca - WS2K,12.0,RM
10,Huechuraba,-33.3799,-70.62178,El Barrero,8.0,RM
11,La Cisterna ,-33.52583,-70.667812,San Simón,10.0,RM
12,La Florida,-33.521069,-70.527356,Vista_cordillera,8.0,RM
13,La Florida,-33.566723,-70.592142,Guacolda,8.0,RM
14,La Florida,-33.5387504,-70.58643,MDM,7.2,RM
15,La Florida,-33.53039167,-70.56961667,Casa_Sary,7.0,RM
16,La Florida,-33.53493,-70.57879,Costa Rica,5.0,RM
17,La Florida,-33.52336,-70.56212,Miravalle,4.8,RM
18,La Florida ,-33.5260817,-70.5245883,Lo Cañas,14.7,RM
19,La Reina,-33.445699,-70.553097,OpaHouse,7.0,RM
20,La Reina,-33.452259,-70.554147,San Benito,6.7,RM
21,La Reina,-33.43648,-70.54493,asilvam,6.6,RM
22,La Reina,-33.44194,-70.56306,Tadeo,6.0,RM
23,La Reina,-33.4325123,-70.5797009,thequeen,5.0,RM
24,La Reina,-33.434636,-70.522047,Petricor,2.5,RM
25,Las Condes,-33.40635,-70.51399,FECHITA,8.0,RM
26,Las Condes,-33.37354,-70.5041,La Posada MK,8.0,RM
27,Las Condes,-33.41068,-70.51288,Boldo,8.0,RM
28,Las Condes,-33.405679,-70.55212,pluv_lcbv,8.0,RM
29,Las Condes,-33.41069,-70.51004,Marley,7.5,RM
30,Las Condes,-33.379558,-70.519431,Huerta_JLG,7.0,RM
31,Las Condes,-33.42053,-70.5582,Salvador,7.0,RM
32,Las Condes,-33.4249222,-70.5821583,Cristobaldlm,6.0,RM
33,Las Condes,-33.426634,-70.587151,Teruel,6.0,RM
34,Lo Barnechea,-33.347133,-70.482523,Arrayán,12.5,RM
35,Lo Barnechea,-33.356717,-70.479844,Arrayán - Estero,12.0,RM
36,Lo Barnechea,-33.342583,-70.47025,POMcI,12.0,RM
37,Lo Barnechea,-33.363563,-70.496013,San Enrique,11.0,RM
38,Lo Barnechea,-33.359998,-70.476821,Las tres hermanas,10.0,RM
39,Lo Barnechea,-33.332691,-70.524816,Panorámica,9.0,RM
40,Lo Barnechea,-33.3497222222222,-70.5405555555556,Santa Blanca,5.7,RM
41,Lo Espejo,-33.514491,-70.694431,Loespuno,10.0,RM
42,Maipu,-33.512062,-70.769442,Maipu_Templo,12.0,RM
43,Maipu,-33.5047663,-70.754341,Munich,10.0,RM
44,Maipu,-33.55672433,-70.7812371,AMC,6.0,RM
