,Comuna,Latitud,Longitud,Alias,Precipitacion,Grupo
0,Calera de Tango,-33.63026,-70.75037,Almendros,18.0,RM
1,Calera de Tango,-33.610437,-70.770246,Tanguito,16.0,RM
2,Calera de tango,-33.6161675,-70.8020156,La Virgen,15.0,RM
3,Caleu,-33.0447222222222,-70.9913889,patorod,75.0,RM
4,Caleu,-33.002995,-70.997043,Profe Luis,61.0,RM
5,Caleu,-32.99657,-70.95172,Espinalillo,50.0,RM
6,Cerrillos,-33.5071009,-70.708747,Rocío,14.0,RM
7,Cerro Navia,-33.424337,-70.724038,Cerro Navia,15.0,RM
8,Cerro Navia,-33.41946,-70.72695,Nanocerro,14.0,RM
9,Colina,-33.208657,-70.66088,Sta. Filomena,16.0,RM
10,Colina,-33.307339,-70.660102,Chamisero,14.0,RM
11,El Bosque,-33.5591666666667,-70.6777222222222,El Bosque,15.0,RM
12,Huechuraba,-33.3799,-70.62178,El Barrero,26.0,RM
13,Isla de Maipo,-33.74849,-70.86864,Uva,30.0,RM
14,La Florida,-33.53039167,-70.56961667,Casa_Sary,37.0,RM
15,La Florida,-33.534475,-70.550238,Amongus,27.0,RM
16,La Florida,-33.52336,-70.56212,Miravalle,24.0,RM
17,La Florida,-33.5387504,-70.58643,MDM,23.3,RM
18,La Florida,-33.566723,-70.592142,Guacolda,22.0,RM
19,La Reina,-33.43648,-70.54493,asilvam,23.4,RM
20,La Reina,-33.4325123,-70.5797009,thequeen,23.0,RM
21,La Reina,-33.452259,-70.554147,San Benito,21.0,RM
22,Lampa,-33.2843725,-70.8736396,Celeste,10.0,RM
23,Las Condes,-33.379558,-70.519431,Huerta_JLG,34.0,RM
24,Las Condes,-33.40002,-70.54015,pie cerro Calán,26.0,RM
25,Las Condes,-33.423889,-70.557545,Dreal,21.0,RM
26,Las Condes,-33.422148,-70.557498,Azúcar,16.0,RM
27,Lo Barnechea,-33.356717,-70.479844,Arrayán,42.4,RM
28,Lo Barnechea,-33.342583,-70.47025,POMcI,40.0,RM
29,Lo Barnechea,-33.359998,-70.476821,Las tres hermanas,30.0,RM
30,Lo Barnechea,-33.3297222,-70.5038889,JPMG,29.6,RM
31,Lo Barnechea,-33.330085,-70.521384,ADRI,29.0,RM
32,Lo Barnechea,-33.332691,-70.524816,Panorámica,28.0,RM
33,Lo Espejo,-33.514491,-70.694431,Loespuno,19.0,RM
34,Lo Espejo,-33.51708,-70.6801,ClaraEstrella,14.5,RM
35,Macul,-33.481192,-70.596257,patioeric,20.0,RM
36,Maipu,-33.512062,-70.769442,Maipu_Templo,13.0,RM
37,Melipilla,-33.5761125,-71.0873969,AgricHarrison,37.0,RM
38,Ñuñoa,-33.4609,-70.594277,Johow,19.0,RM
39,Ñuñoa,-33.467595,-70.620413,Villa Olímpica,18.0,RM
40,Ñuñoa,-33.456043,-70.598147,Morgana,16.0,RM
