,Comuna,Latitud,Longitud,Alias,Precipitacion,Grupo
0,Calera de Tango,-33.63026,-70.75037,Almendros,63.0,RM
1,Calera de Tango,-33.610437,-70.770246,Tanguito,47.0,RM
2,Caleu,-33.001,-70.95179,LaCapilla,89.0,RM
3,Caleu,-33.0447222222222,-70.9913889,patorod,86.0,RM
4,Caleu,-33.002995,-70.997043,Profe Luis,81.0,RM
5,Caleu,-32.99657,-70.95172,Espinalillo,67.0,RM
6,Cerrillos,-33.5071009,-70.708747,Rocío,40.0,RM
7,Cerro Navia,-33.424337,-70.724038,Cerro Navia,38.0,RM
8,Colina,-33.260994,-70.644855,Ñipa,27.0,RM
9,Colina,-33.307339,-70.660102,Chamisero,25.0,RM
10,Colina,-33.2539999,-70.6294618,Piedraroja,25.0,RM
11,Colina,-33.208657,-70.66088,Sta. Filomena,23.0,RM
12,El Bosque,-33.5591666666667,-70.6777222222222,El Bosque,36.0,RM
13,Huechuraba,-33.3799,-70.62178,El Barrero,40.0,RM
14,Isla de Maipo,-33.74849,-70.86864,Uva,38.0,RM
15,La Florida,-33.566723,-70.592142,Guacolda,47.0,RM
16,La Florida,-33.5387504,-70.58643,MDM,37.6,RM
17,La Florida,-33.52336,-70.56212,Miravalle,31.0,RM
18,La Reina,-33.43648,-70.54493,asilvam,34.0,RM
19,La Reina,-33.452259,-70.554147,San Benito,24.0,RM
20,La Reina,-33.4325123,-70.5797009,thequeen,24.0,RM
21,Las Condes,-33.405679,-70.55212,pluv_lcbv,36.0,RM
22,Las Condes,-33.379558,-70.519431,Huerta_JLG,33.0,RM
23,Las Condes,-33.422148,-70.557498,Azúcar,25.0,RM
24,Las Condes,-33.41354,-70.58728,MPM,19.0,RM
25,Las Condes,-33.40525,-70.527254,CLaGloria,19.0,RM
26,Lo Barnechea,-33.363563,-70.496013,San Enrique,42.0,RM
27,Lo Barnechea,-33.342583,-70.47025,POMcI,36.0,RM
28,Lo Barnechea,-33.3497222222222,-70.5405555555556,LAR,35.3,RM
29,Lo Barnechea,-33.347483,-70.663776,Los Guindos,34.0,RM
30,Lo Barnechea,-33.3297222,-70.5038889,JPMG,33.8,RM
31,Lo Barnechea,-33.332691,-70.524816,Panorámica,32.0,RM
32,Lo Barnechea,-33.359998,-70.476821,Las tres hermanas,31.0,RM
33,Lo Barnechea,-33.330085,-70.521384,ADRI,25.0,RM
34,Lo Espejo,-33.514491,-70.694431,Loespuno,47.0,RM
35,Lo Espejo,-33.51708,-70.6801,ClaraEstrella,39.0,RM
36,Maipu,-33.512062,-70.769442,Maipu_Templo,51.7,RM
37,Melipilla,-33.5761125,-71.0873969,AgricHarrison,43.0,RM
38,Ñuñoa,-33.456043,-70.598147,Morgana,34.0,RM
39,Ñuñoa,-33.467595,-70.620413,Villa Olímpica,34.0,RM
40,Ñuñoa,-33.4609,-70.594277,Johow,32.0,RM
41,Peñaflor,-33.5951716,-70.8549146,FernandoM1,42.0,RM
42,Peñalolen,-33.489767,-70.57516,Patio con pasto,36.0,RM
43,Peñalolén,-33.50167,-70.586438,Terra-Aqua,48.0,RM
44,Peñalolén,-33.5005704,-70.539494,Pirquera,24.0,RM
45,Pirque,-33.6493055555556,-70.6056388888889,IsaPir,44.0,RM
46,Providencia,-33.4401249,-70.600959,Tranquila,54.0,RM
47,Providencia,-33.43493,-70.609567,Estanques,34.0,RM
48,Providencia,-33.442542,-70.615579,Hortensias,30.0,RM
49,Pudahuel,-33.457778,-70.756944,Auquinco,43.0,RM
50,Pudahuel,-33.463888,-70.84333,CDV-1,20.0,RM
51,Puente Alto,-33.583924,-70.514863,HACIENDA,45.0,RM
52,Puente alto,-33.5917815,-70.5778761,Casa alvin,45.0,RM
53,Puente Alto,-33.60863,-70.53107,El Páramo,44.0,RM
54,Puente Alto,-33.5821241,-70.5858865,CasaPabla,43.0,RM
55,Puente Alto,-33.59039,-70.5734443,César3,42.0,RM
56,Puente Alto,-33.60863,-70.53107,Cordillera,40.0,RM
57,Quilicura,-33.3595,-70.73047,Huentenao,32.0,RM
58,San Bernardo,-33.612675,-70.72276,Hueñimalal,51.0,RM
59,San Bernardo,-33.61697,-70.687,LaSelva,43.0,RM
60,San José de Maipo,-33.586952,-70.466303,Geoestudios,47.5,RM
61,San Miguel,-33.493608,-70.651679,smiguel13,44.5,RM
62,San Miguel,-33.4973,-70.6554,La Marina,33.0,RM
63,Santiago,-33.456944444444446,-70.66166666666668,DGF,30.5,RM
64,Talagante,-33.703533,-70.852514,Lonquén,37.0,RM
65,Til Til,-33.164083,-70.787468,AEM Til Til,30.0,RM
66,TilTil,-33.07725555555556,-70.9251,TilTil Centro,40.8,RM
67,Vitacura,-33.395182,-70.588737,Vitacumbia,33.0,RM
68,Vitacura,-33.385938,-70.581230114,Vitacura,33.0,RM
69,Vitacura,-33.38146,-70.55663,Auri-001,30.0,RM
70,Vitacura,-33.38783,-70.553479,Escultor,30.0,RM
71,Til Til,-32.990722222222225,-70.89500833333334,Rungue,68.0,RM
72,Til Til,-33.118275,-70.84519444444445,Punta Peuco,30.5,RM
73,Pirque,-33.673888,-70.586666,Pirque - DGA,110.2,EMA
74,,-33.65,-71.1,Melipilla - AG44,78.69999999999999,EMA
75,Melipilla,-33.661388,-71.336944,Estero Puangue - DGA,78.0,EMA
76,Peñalolén,-33.500833,-70.514166,Quebrada de Macul - DGA,71.80000000000001,EMA
77,,-33.725439,-71.042558,San Antonio de Naltagua - AG267,61.8,EMA
78,Melipilla,-33.8908333,-71.233611,Los Guindos - DGA,59.7,EMA
79,,-33.7,-70.7,Los Tilos - AG285,58.1,EMA
80,,-33.691944,-71.10083,El Monte - AG56,57.099999999999994,EMA
81,Til Til,-33.121388,-70.834166,Til Til - AG41,56.8,EMA
82,,-33.736215,-71.421579,Cuncumén - AG559,54.0,EMA
83,El Monte,-33.706388,-71.008055,El Paico - DMC,52.6,EMA
84,Pudahuel,-33.458055,-70.94861,Lo Prado Co. San Francisco - DMC,52.3,EMA
85,,-33.897935,-71.452881,San Pedro de Melipilla - AG268,51.2,EMA
86,Melipilla,-33.680277,-71.2,Melipilla - DGA,50.9,EMA
87,,-33.66583333,-70.107777777,Laguna Negra - DGA,49.8,EMA
88,,-33.497093,-70.845436,Rinconada U. de Chile AG-373,49.6,EMA
