,Comuna,Latitud,Longitud,Alias,Precipitacion,Grupo
0,Buin,-33.74131,-70.679466,Azul m.,26.4,RM
1,Buin,-33.7427629,-70.748651,Buin Centro,26.0,RM
2,Buin,-33.747465,-70.735897,Linderos,26.0,RM
3,Calera de Tango,-33.64388888888889,-70.83833333333332,Condominio SCdL,31.0,RM
4,Cerrillos,-33.5071009,-70.708747,Rocío,39.0,RM
5,Cerro Navia,-33.41946,-70.72695,Nanocerro,27.0,RM
6,Cerro Navia,-33.417376,-70.75786,Harry,19.0,RM
7,Colina,-33.235,-70.673333,Chicureo,30.0,RM
8,Colina,-33.2539999,-70.6294618,Piedraroja,29.0,RM
9,Colina,-33.260994,-70.644855,Ñipa,27.0,RM
10,Colina,-33.307339,-70.660102,Chamisero,23.0,RM
11,Conchali,-33.3900114,-70.681807378,SOL,25.0,RM
12,Curacaví,-33.393795,-71.03482,Tenca - WS2K,37.2,RM
13,Huechuraba,-33.347483,-70.663776,Los Guindos,35.0,RM
14,Huechuraba,-33.3799,-70.62178,El Barrero,33.0,RM
15,La Cisterna,-33.527854,-70.669636,Nueva España,37.0,RM
16,La Cisterna,-33.5357254,-70.661582,Mila,32.0,RM
17,La Florida,-33.566723,-70.592142,Guacolda,32.0,RM
18,La Florida,-33.53039167,-70.56961667,Casa_Sary,31.0,RM
19,La Florida,-33.5387504,-70.58643,MDM,30.9,RM
20,La Florida,-33.52336,-70.56212,Miravalle,30.0,RM
21,La Reina,-33.444734,-70.537295,sbolivar,38.0,RM
22,La Reina,-33.43648,-70.54493,asilvam,34.5,RM
23,La Reina,-33.4325123,-70.5797009,thequeen,30.0,RM
24,La Reina,-33.452259,-70.554147,San Benito,26.0,RM
25,Las Condes,-33.405679,-70.55212,pluv_lcbv,42.0,RM
26,Las Condes,-33.40635,-70.51399,FECHITA,40.0,RM
27,Las Condes,-33.423889,-70.557545,Dreal,36.0,RM
28,Las Condes,-33.4249222,-70.5821583,Cristobaldlm,34.0,RM
29,Las Condes,-33.40002,-70.54015,pie cerro Calán,32.0,RM
30,Las Condes,-33.426634,-70.587151,Teruel,32.0,RM
31,Lo Barnechea,-33.31861,-70.233055,trespuntas,41.0,RM
32,Lo Barnechea,-33.356717,-70.479844,Arrayán,40.0,RM
