,Comuna,Latitud,Longitud,Alias,Precipitacion,Grupo
0,Buin,-33.7427629,-70.748651,Buin Centro,15.0,RM
1,Calera de Tango,-33.64388888888889,-70.83833333333332,Condominio SCdL,12.0,RM
2,Calera de Tango,-33.63026,-70.75037,Almendros,10.0,RM
3,Calera de Tango,-33.610437,-70.770246,Tanguito,9.0,RM
4,Cerrillos,-33.5071009,-70.708747,Rocío,16.0,RM
5,Cerro Navia,-33.41946,-70.72695,Nanocerro,8.0,RM
6,Colina,-33.2539999,-70.6294618,Piedraroja,8.0,RM
7,Colina,-33.307339,-70.660102,Chamisero,5.3,RM
8,Curacaví,-33.374,-71.1806,Yaca,12.0,RM
9,El Monte,-33.68048,-70.998302,Coipocho,14.0,RM
10,Huechuraba,-33.347483,-70.663776,Los Guindos,9.0,RM
11,Isla de Maipo,-33.704432,-70.89853,Granortu,10.0,RM
12,La Cisterna,-33.527854,-70.669636,Nueva España,6.0,RM
13,La Cruz,-32.8508333,-71.223333,Campanario La Cruz,0.0,V - R
14,La Florida,-33.51899,-70.52299,Alto Macul,13.0,RM
15,La Florida,-33.566723,-70.592142,Guacolda,11.0,RM
16,La Florida,-33.5387504,-70.58643,MDM,10.8,RM
17,La Reina,-33.43648,-70.54493,asilvam,13.4,RM
18,La Reina,-33.44194,-70.56306,Tadeo,13.0,RM
19,La Reina,-33.4479073,-70.5454391,Zapiola,12.5,RM
20,La Reina,-33.44535,-70.54923,PBurchard,10.0,RM
21,La Reina,-33.459283,-70.56545,FG6189,10.0,RM
22,La Reina,-33.434636,-70.522047,Petricor,9.8,RM
23,La Reina,-33.45751,-70.56021,Yeye,9.5,RM
24,La Reina,-33.432775,-70.51780555555555,Parque Aguas de Ramón,9.2,RM
25,La Reina,-33.445699,-70.553097,OpaHouse,9.0,RM
26,Lampa,-33.32,-70.75,Valle Grande,5.0,RM
27,Las Condes,-33.379558,-70.519431,Huerta_JLG,11.0,RM
28,Las Condes,-33.41069,-70.51004,Marley,10.0,RM
29,Las Condes,-33.40635,-70.51399,FECHITA,10.0,RM
30,Las Condes,-33.426634,-70.587151,Teruel,10.0,RM
31,Las Condes,-33.39729444444444,-70.53663888888889,Calán - DGF,8.6,RM
32,Las Condes,-33.423889,-70.557545,Dreal,6.0,RM
33,Lo Barnechea,-33.31861,-70.233055,trespuntas,165.0,RM
34,Lo Barnechea,-33.332691,-70.524816,Panorámica,19.0,RM
35,Lo Barnechea,-33.330798,-70.5139946,LoBarnechea17,14.0,RM
36,Lo Barnechea,-33.342583,-70.47025,POMcI,13.0,RM
37,Lo Barnechea,-33.3297222,-70.5038889,JPMG,13.0,RM
38,Lo Barnechea,-33.363563,-70.496013,San Enrique,12.0,RM
39,Lo Barnechea,-33.359998,-70.476821,Las tres hermanas,11.5,RM
40,Lo Barnechea,-33.3497222222222,-70.5405555555556,Santa Blanca,10.7,RM
41,Lo Espejo,-33.514491,-70.694431,Loespuno,9.0,RM
42,Macul,33.4875,70.5981,GFA,10.0,RM
43,Maipú,-33.498029,-70.741741,Tagua,9.0,RM
44,Maipú,-33.52718,-70.77573,Pepe Carter,9.0,RM
45,Ñuñoa,-33.4503,-70.5821,Gorostiaga,12.0,RM
46,Ñuñoa,-33.4399552,-70.5770178,TOMACHO,11.0,RM
47,Ñuñoa,-33.445999,-70.588186,Pedro_Torres,11.0,RM
48,Ñuñoa,-33.450585,-70.591376,Brownpoint,10.0,RM
49,Ñuñoa,-33.4609,-70.594277,Johow,10.0,RM
50,Ñuñoa,-33.445253,-70.585837,Parque Pucará,9.0,RM
51,Olmue,-32.99055555555556,-71.18027777777779,Colibrí,2.0,V - R
52,Padre Hurtado,-33.562211,-70.885686,Aromito,6.0,RM
53,Paine,-33.820417,-70.741041,Probeta,12.8,RM
54,Peñaflor,-33.6044444,-70.8980556,BATA,13.0,RM
55,Peñalolén,-33.487568,-70.574487,Ciudadana,14.0,RM
56,Peñalolén,-33.488425,-70.5301222,Com Eco Peñalolén,12.6,RM
57,Peñalolén,-33.5005704,-70.535267,Pirquera,12.5,RM
58,Peñalolén,-33.464228,-70.510042,Parque Cantalao,11.0,RM
59,Peñalolén,-33.4893921,-70.541795,Puyehue,10.0,RM
60,Peñalolén,-33.50167,-70.586438,Terra-Aqua,6.0,RM
61,Pirque,-33.61097,-70.50043,San Juan,25.0,RM
62,Pirque,-33.626029,-70.536201,ApoloPirque,25.0,RM
63,Pirque,-33.62933,-70.54722,El Huingán,12.0,RM
64,Pirque,-33.6493055555556,-70.6056388888889,IsaPir,12.0,RM
65,Providencia,-33.43493,-70.609567,Estanques,12.5,RM
66,Providencia,-33.43551,-70.586153,El Belloto,10.0,RM
67,Providencia,-33.4401249,-70.600959,Tranqui,6.0,RM
68,Pudahuel,-33.454455,-70.85234,MIGIOMI,6.7,RM
69,Puente Alto,-33.5821241,-70.5858865,CasaPabla,15.5,RM
70,Puente Alto,-33.60863,-70.53107,Cordillera,14.0,RM
71,Puente Alto,-33.57219,-70.5778,Nemesio Vicuña,12.0,RM
72,Quilicura,-33.35935,-70.72336,mawün,6.0,RM
73,Renca,-33.40343,-70.70815,Djoko,5.0,RM
74,San Bernardo,-33.612675,-70.72276,Hueñimalal,11.0,RM
75,San Bernardo,-33.592121,-70.707756,Saitama,9.0,RM
76,San José de Maipo,-33.762359,-70.279106,El Ingenio,96.0,RM
77,San José de Maipo,-33.822472,-70.224139,Puente El Cristo,77.0,RM
78,San José de Maipo,-33.63731,-70.31333,Santuario de Lagunillas,48.0,RM
79,San José de Maipo,-33.571349,-70.456669,Ngen-ko,46.0,RM
80,San José de Maipo,-33.5783328,-70.451299,El Canelo,45.0,RM
81,San José de Maipo,-33.621401,-70.350204,El Quillay,44.1,RM
82,San José de Maipo,-33.595436,-70.377091,PyG,38.0,RM
83,San José de Maipo,-33.576059,-70.43879,RodrigoF,36.0,RM
84,San José de Maipo,-33.57627777777778,-70.44894444444445,AWS El Canelo El Bajo,34.6,RM
85,San José de Maipo,-33.578198,-70.405527,Alicura,33.0,RM
86,San José de Maipo,-33.58811,-70.397258,AMMA1,32.0,RM
87,San José de Maipo,-33.587699,-70.470749,Las Vertientes 1,30.0,RM
88,San José de Maipo,-33.59083,-70.48583,La Obra DGF,18.5,RM
89,San Miguel,-33.51119,-70.66195,Fajardo,11.7,RM
90,San Ramón,-33.528298,-70.6411026,Pep9,11.0,RM
91,Santiago,-33.45827,-70.69544,Coronel Souper E,8.0,RM
92,Santiago,-33.456944444444446,-70.66166666666668,DGF,6.5,RM
93,Talagante,-33.6616396,-70.9290078,CasaCentro,10.0,RM
